SA4_NAME16	Year	averageHouseholdSize
Sydney - Northern Beaches	2011	2.6
Sydney - Outer South West	2011	3
Sydney - Outer West and Blue Mountains	2011	2.7
Sydney - Parramatta	2011	2.9
Sydney - Ryde	2011	2.7
Sydney - South West	2011	3.2
Sydney - Sutherland	2011	2.7
Migratory - Offshore - Shipping (NSW)	2011	0
No usual address (NSW)	2011	0
Ballarat	2011	2.4
Bendigo	2011	2.4
Geelong	2011	2.5
Hume	2011	2.4
Latrobe - Gippsland	2011	2.4
Melbourne - Inner	2011	2.1
Melbourne - Inner East	2011	2.6
Melbourne - Inner South	2011	2.5
Melbourne - North East	2011	2.8
Melbourne - North West	2011	2.9
Melbourne - Outer East	2011	2.7
Melbourne - South East	2011	2.9
Melbourne - West	2011	2.8
Mornington Peninsula	2011	2.5
North West	2011	2.4
Shepparton	2011	2.5
Warrnambool and South West	2011	2.4
Migratory - Offshore - Shipping (Vic.)	2011	0
No usual address (Vic.)	2011	0
Brisbane - East	2011	2.7
Brisbane - North	2011	2.5
Brisbane - South	2011	2.7
Brisbane - West	2011	2.7
Brisbane Inner City	2011	2.3
Cairns	2011	2.5
Darling Downs - Maranoa	2011	2.5
Central Queensland	2011	2.6
Gold Coast	2011	2.5
Ipswich	2011	2.8
Logan - Beaudesert	2011	2.9
Mackay - Isaac - Whitsunday	2011	2.7
Moreton Bay - North	2011	2.6
Moreton Bay - South	2011	2.9
Queensland - Outback	2011	2.7
Sunshine Coast	2011	2.5
Toowoomba	2011	2.5
Townsville	2011	2.6
Wide Bay	2011	2.4
Migratory - Offshore - Shipping (Qld)	2011	0
No usual address (Qld)	2011	0
Adelaide - Central and Hills	2011	2.4
Adelaide - North	2011	2.5
Adelaide - South	2011	2.4
Adelaide - West	2011	2.3
Barossa - Yorke - Mid North	2011	2.3
South Australia - Outback	2011	2.4
South Australia - South East	2011	2.3
Migratory - Offshore - Shipping (SA)	2011	0
No usual address (SA)	2011	0
Bunbury	2011	2.5
Mandurah	2011	2.4
Perth - Inner	2011	2.3
Perth - North East	2011	2.6
Perth - North West	2011	2.7
Perth - South East	2011	2.6
Perth - South West	2011	2.6
Western Australia - Wheat Belt	2011	2.4
Western Australia - Outback (North)	2011	2.9
Western Australia - Outback (South)	2011	2.6
Migratory - Offshore - Shipping (WA)	2011	0
No usual address (WA)	2011	0
Hobart	2011	2.4
Launceston and North East	2011	2.4
South East	2011	2.4
West and North West	2011	2.4
Migratory - Offshore - Shipping (Tas.)	2011	0
No usual address (Tas.)	2011	0
Darwin	2011	2.7
Northern Territory - Outback	2011	3.2
Migratory - Offshore - Shipping (NT)	2011	0
No usual address (NT)	2011	0
Australian Capital Territory	2011	2.6
Migratory - Offshore - Shipping (ACT)	2011	0
No usual address (ACT)	2011	0
Other Territories	2011	2.8
Migratory - Offshore - Shipping (OT)	2011	0
No usual address (OT)	2011	0
Capital Region	2016	2.4
Central Coast	2016	2.5
Central West	2016	2.4
Coffs Harbour - Grafton	2016	2.4
Far West and Orana	2016	2.4
Hunter Valley exc Newcastle	2016	2.6
Illawarra	2016	2.6
Mid North Coast	2016	2.3
Murray	2016	2.3
New England and North West	2016	2.4
Newcastle and Lake Macquarie	2016	2.5
Richmond - Tweed	2016	2.4
Riverina	2016	2.5
Southern Highlands and Shoalhaven	2016	2.4
Sydney - Baulkham Hills and Hawkesbury	2016	3.1
Sydney - Blacktown	2016	3.2
Sydney - City and Inner South	2016	2.2
Sydney - Eastern Suburbs	2016	2.4
Sydney - Inner South West	2016	2.9
Sydney - Inner West	2016	2.6
Sydney - North Sydney and Hornsby	2016	2.6
Sydney - Northern Beaches	2016	2.7
Sydney - Outer South West	2016	3
Sydney - Outer West and Blue Mountains	2016	2.7
Sydney - Parramatta	2016	3
Sydney - Ryde	2016	2.7
Sydney - South West	2016	3.3
Sydney - Sutherland	2016	2.7
Migratory - Offshore - Shipping (NSW)	2016	0
No usual address (NSW)	2016	0
Ballarat	2016	2.4
Bendigo	2016	2.4
Geelong	2016	2.5
Hume	2016	2.4
Latrobe - Gippsland	2016	2.3
Melbourne - Inner	2016	2.1
Melbourne - Inner East	2016	2.6
Melbourne - Inner South	2016	2.5
Melbourne - North East	2016	2.8
Melbourne - North West	2016	2.9
Melbourne - Outer East	2016	2.7
Melbourne - South East	2016	2.9
Melbourne - West	2016	2.9
Mornington Peninsula	2016	2.5
North West	2016	2.3
Shepparton	2016	2.4
Warrnambool and South West	2016	2.4
Migratory - Offshore - Shipping (Vic.)	2016	0
No usual address (Vic.)	2016	0
Brisbane - East	2016	2.7
Brisbane - North	2016	2.5
Brisbane - South	2016	2.7
Brisbane - West	2016	2.7
Brisbane Inner City	2016	2.3
Cairns	2016	2.5
Darling Downs - Maranoa	2016	2.5
Central Queensland	2016	2.6
Gold Coast	2016	2.6
Ipswich	2016	2.8
Logan - Beaudesert	2016	2.9
Mackay - Isaac - Whitsunday	2016	2.5
Moreton Bay - North	2016	2.6
Moreton Bay - South	2016	2.9
Queensland - Outback	2016	2.7
Sunshine Coast	2016	2.5
Toowoomba	2016	2.5
Townsville	2016	2.5
Wide Bay	2016	2.4
Migratory - Offshore - Shipping (Qld)	2016	0
No usual address (Qld)	2016	0
Adelaide - Central and Hills	2016	2.4
Adelaide - North	2016	2.6
Adelaide - South	2016	2.4
Adelaide - West	2016	2.4
Barossa - Yorke - Mid North	2016	2.3
South Australia - Outback	2016	2.3
South Australia - South East	2016	2.3
Migratory - Offshore - Shipping (SA)	2016	0
No usual address (SA)	2016	0
Bunbury	2016	2.5
Mandurah	2016	2.4
Perth - Inner	2016	2.3
Perth - North East	2016	2.6
Perth - North West	2016	2.7
Perth - South East	2016	2.7
Perth - South West	2016	2.6
Western Australia - Wheat Belt	2016	2.4
Western Australia - Outback (North)	2016	2.8
Western Australia - Outback (South)	2016	2.5
Migratory - Offshore - Shipping (WA)	2016	0
No usual address (WA)	2016	0
Hobart	2016	2.4
Launceston and North East	2016	2.3
South East	2016	2.3
West and North West	2016	2.3
Migratory - Offshore - Shipping (Tas.)	2016	0
No usual address (Tas.)	2016	0
Darwin	2016	2.7
Northern Territory - Outback	2016	3.2
Migratory - Offshore - Shipping (NT)	2016	0
No usual address (NT)	2016	0
Australian Capital Territory	2016	2.5
Migratory - Offshore - Shipping (ACT)	2016	0
No usual address (ACT)	2016	0
Other Territories	2016	2.6
Migratory - Offshore - Shipping (OT)	2016	0
No usual address (OT)	2016	0
