SA4_NAME16	Year	persons
Sydney - North Sydney and Hornsby	2011	374663
Sydney - North Sydney and Hornsby	2016	405356
Sydney - Northern Beaches	2006	225102
Sydney - Northern Beaches	2011	237640
Sydney - Northern Beaches	2016	252878
Sydney - Outer South West	2006	223656
Sydney - Outer South West	2011	235804
Sydney - Outer South West	2016	262064
Sydney - Outer West and Blue Mountains	2006	279002
Sydney - Outer West and Blue Mountains	2011	288191
Sydney - Outer West and Blue Mountains	2016	306933
Sydney - Parramatta	2006	355782
Sydney - Parramatta	2011	394709
Sydney - Parramatta	2016	448391
Sydney - Ryde	2006	155064
Sydney - Ryde	2011	162846
Sydney - Ryde	2016	182119
Sydney - South West	2006	337452
Sydney - South West	2011	360166
Sydney - South West	2016	405962
Sydney - Sutherland	2006	204913
Sydney - Sutherland	2011	210265
Sydney - Sutherland	2016	217880
Migratory - Offshore - Shipping (NSW)	2006	50
Migratory - Offshore - Shipping (NSW)	2011	112
Migratory - Offshore - Shipping (NSW)	2016	412
No usual address (NSW)	2006	10175
No usual address (NSW)	2011	12917
No usual address (NSW)	2016	12288
Ballarat	2006	136120
Ballarat	2011	146234
Ballarat	2016	157485
Bendigo	2006	132405
Bendigo	2011	140695
Bendigo	2016	153092
Geelong	2006	231275
Geelong	2011	250650
Geelong	2016	278929
Hume	2006	152628
Hume	2011	159294
Hume	2016	170194
Latrobe - Gippsland	2006	239008
Latrobe - Gippsland	2011	255858
Latrobe - Gippsland	2016	271416
Melbourne - Inner	2006	458907
Melbourne - Inner	2011	501989
Melbourne - Inner	2016	591679
Melbourne - Inner East	2006	328985
Melbourne - Inner East	2011	340002
Melbourne - Inner East	2016	359644
Melbourne - Inner South	2006	358455
Melbourne - Inner South	2011	378214
Melbourne - Inner South	2016	403707
Melbourne - North East	2006	396563
Melbourne - North East	2011	437046
Melbourne - North East	2016	495353
Melbourne - North West	2006	289715
Melbourne - North West	2011	318481
Melbourne - North West	2016	363371
Melbourne - Outer East	2006	466039
Melbourne - Outer East	2011	479105
Melbourne - Outer East	2016	499608
Melbourne - South East	2006	585010
Melbourne - South East	2011	658018
Melbourne - South East	2016	755265
Melbourne - West	2006	509056
Melbourne - West	2011	616059
Melbourne - West	2016	727443
Mornington Peninsula	2006	254283
Mornington Peninsula	2011	271066
Mornington Peninsula	2016	289142
North West	2006	147988
North West	2011	147427
North West	2016	150035
Shepparton	2006	120384
Shepparton	2011	124893
Shepparton	2016	129971
Warrnambool and South West	2006	119153
Warrnambool and South West	2011	120659
Warrnambool and South West	2016	122701
Migratory - Offshore - Shipping (Vic.)	2006	51
Migratory - Offshore - Shipping (Vic.)	2011	36
Migratory - Offshore - Shipping (Vic.)	2016	29
No usual address (Vic.)	2006	6394
No usual address (Vic.)	2011	8307
No usual address (Vic.)	2016	7565
Brisbane - East	2006	191806
Brisbane - East	2011	211132
Brisbane - East	2016	223095
Brisbane - North	2006	174412
Brisbane - North	2011	191051
Brisbane - North	2016	206522
Brisbane - South	2006	287606
Brisbane - South	2011	314086
Brisbane - South	2016	340569
Brisbane - West	2006	161221
Brisbane - West	2011	170353
Brisbane - West	2016	178991
Brisbane Inner City	2006	205013
Brisbane Inner City	2011	223980
Brisbane Inner City	2016	250207
Cairns	2006	203112
Cairns	2011	224438
Cairns	2016	240190
Darling Downs - Maranoa	2006	114867
Darling Downs - Maranoa	2011	122274
Darling Downs - Maranoa	2016	126289
Central Queensland	2006	193900
Central Queensland	2011	211343
Central Queensland	2016	220912
Gold Coast	2006	446185
Gold Coast	2011	507641
Gold Coast	2016	569997
Ipswich	2006	241707
Ipswich	2011	281788
Ipswich	2016	323069
Logan - Beaudesert	2006	261739
Logan - Beaudesert	2011	290428
Logan - Beaudesert	2016	317296
Mackay - Isaac - Whitsunday	2006	150171
Mackay - Isaac - Whitsunday	2011	166813
Mackay - Isaac - Whitsunday	2016	169688
Moreton Bay - North	2006	187850
Moreton Bay - North	2011	215751
Moreton Bay - North	2016	236091
Moreton Bay - South	2006	141143
Moreton Bay - South	2011	167430
Moreton Bay - South	2016	194969
Queensland - Outback	2006	78520
Queensland - Outback	2011	82926
Queensland - Outback	2016	79700
Sunshine Coast	2006	276263
Sunshine Coast	2011	306909
Sunshine Coast	2016	346522
Toowoomba	2006	129911
Toowoomba	2011	140220
Toowoomba	2016	149512
Townsville	2006	196672
Townsville	2011	217896
Townsville	2016	229031
Wide Bay	2006	249530
Wide Bay	2011	273266
Wide Bay	2016	287883
Migratory - Offshore - Shipping (Qld)	2006	99
Migratory - Offshore - Shipping (Qld)	2011	473
Migratory - Offshore - Shipping (Qld)	2016	150
No usual address (Qld)	2006	12806
No usual address (Qld)	2011	12543
No usual address (Qld)	2016	12510
Adelaide - Central and Hills	2006	265056
Adelaide - Central and Hills	2011	277063
Adelaide - Central and Hills	2016	289546
Adelaide - North	2006	363072
Adelaide - North	2011	391644
Adelaide - North	2016	423086
Adelaide - South	2006	323594
Adelaide - South	2011	339873
Adelaide - South	2016	355341
Adelaide - West	2006	205238
Adelaide - West	2011	216654
Adelaide - West	2016	227745
Barossa - Yorke - Mid North	2006	102789
Barossa - Yorke - Mid North	2011	106521
Barossa - Yorke - Mid North	2016	110515
South Australia - Outback	2006	81845
South Australia - Outback	2011	84590
South Australia - Outback	2016	82820
South Australia - South East	2006	170126
South Australia - South East	2011	177151
South Australia - South East	2016	184742
Migratory - Offshore - Shipping (SA)	2006	6
Migratory - Offshore - Shipping (SA)	2011	5
Migratory - Offshore - Shipping (SA)	2016	3
No usual address (SA)	2006	2618
No usual address (SA)	2011	3069
No usual address (SA)	2016	2863
Bunbury	2006	138182
Bunbury	2011	158106
Bunbury	2016	176330
Mandurah	2006	66854
Mandurah	2011	83295
Mandurah	2016	96736
Perth - Inner	2006	142146
Perth - Inner	2011	156351
Perth - Inner	2016	169301
Perth - North East	2006	196857
Perth - North East	2011	219898
Perth - North East	2016	251017
Perth - North West	2006	421072
Perth - North West	2011	482953
Perth - North West	2016	535114
Perth - South East	2006	378368
Perth - South East	2011	433627
Perth - South East	2016	488354
Perth - South West	2006	306813
Perth - South West	2011	352748
Perth - South West	2016	403334
Western Australia - Wheat Belt	2006	122856
Western Australia - Wheat Belt	2011	129437
Western Australia - Wheat Belt	2016	135354
Western Australia - Outback (North)	2006	70300
Western Australia - Outback (North)	2011	94686
Western Australia - Outback (North)	2016	93920
Western Australia - Outback (South)	2006	109327
Western Australia - Outback (South)	2011	120365
Western Australia - Outback (South)	2016	118563
Migratory - Offshore - Shipping (WA)	2006	339
Migratory - Offshore - Shipping (WA)	2011	417
Migratory - Offshore - Shipping (WA)	2016	434
No usual address (WA)	2006	5986
No usual address (WA)	2011	7299
No usual address (WA)	2016	5950
Hobart	2006	201557
Hobart	2011	211655
Hobart	2016	222356
Launceston and North East	2006	133930
Launceston and North East	2011	137556
Launceston and North East	2016	140484
South East	2006	33897
South East	2011	35797
South East	2016	37119
West and North West	2006	106131
West and North West	2011	109153
West and North West	2016	109024
Migratory - Offshore - Shipping (Tas.)	2006	89
Migratory - Offshore - Shipping (Tas.)	2011	113
Migratory - Offshore - Shipping (Tas.)	2016	68
No usual address (Tas.)	2006	872
No usual address (Tas.)	2011	1072
No usual address (Tas.)	2016	912
Darwin	2006	105992
Darwin	2011	120586
Darwin	2016	136828
Northern Territory - Outback	2006	84910
Northern Territory - Outback	2011	89374
Northern Territory - Outback	2016	89443
Migratory - Offshore - Shipping (NT)	2006	94
Migratory - Offshore - Shipping (NT)	2011	107
Migratory - Offshore - Shipping (NT)	2016	70
No usual address (NT)	2006	1901
No usual address (NT)	2011	1870
No usual address (NT)	2016	2489
Australian Capital Territory	2006	323325
Australian Capital Territory	2011	356586
Australian Capital Territory	2016	396857
Migratory - Offshore - Shipping (ACT)	2006	0
Migratory - Offshore - Shipping (ACT)	2011	0
Migratory - Offshore - Shipping (ACT)	2016	0
No usual address (ACT)	2006	709
No usual address (ACT)	2011	630
No usual address (ACT)	2016	538
Other Territories	2006	2290
Other Territories	2011	3004
Other Territories	2016	4523
Migratory - Offshore - Shipping (OT)	2006	0
Migratory - Offshore - Shipping (OT)	2011	0
Migratory - Offshore - Shipping (OT)	2016	6
No usual address (OT)	2006	25
No usual address (OT)	2011	26
No usual address (OT)	2016	55
