SA4_NAME16	Year	Children	CoupleFamily	TotalFamilyIncome.min	families_with_children
Central Coast	2006	1	1	33800	546
Central Coast	2006	1	1	41600	908
Central Coast	2006	1	1	52000	2790
Central Coast	2006	1	1	78000	1996
Central Coast	2006	1	1	104000	1130
Central Coast	2006	1	1	130000	722
Central Coast	2006	1	1	156000	493
Central Coast	2006	1	1	208000	115
Central Coast	2006	2	0		636
Central Coast	2006	2	0	-1	36
Central Coast	2006	2	0	52	54
Central Coast	2006	2	0	7800	225
Central Coast	2006	2	0	15600	619
Central Coast	2006	2	0	20800	49
Central Coast	2006	2	0	26000	1184
Central Coast	2006	2	0	33800	473
Central Coast	2006	2	0	41600	356
Central Coast	2006	2	0	52000	512
Central Coast	2006	2	0	78000	195
Central Coast	2006	2	0	104000	66
Central Coast	2006	2	0	130000	59
Central Coast	2006	2	0	156000	13
Central Coast	2006	2	0	208000	0
Central Coast	2006	2	1		2015
Central Coast	2006	2	1	-1	30
Central Coast	2006	2	1	52	42
Central Coast	2006	2	1	7800	47
Central Coast	2006	2	1	15600	58
Central Coast	2006	2	1	20800	125
Central Coast	2006	2	1	26000	462
Central Coast	2006	2	1	33800	521
Central Coast	2006	2	1	41600	929
Central Coast	2006	2	1	52000	3769
Central Coast	2006	2	1	78000	2564
Central Coast	2006	2	1	104000	1474
Central Coast	2006	2	1	130000	1123
Central Coast	2006	2	1	156000	663
Central Coast	2006	2	1	208000	164
Central Coast	2006	3	0		275
Central Coast	2006	3	0	-1	8
Central Coast	2006	3	0	52	17
Central Coast	2006	3	0	7800	57
Central Coast	2006	3	0	15600	182
Central Coast	2006	3	0	20800	16
Central Coast	2006	3	0	26000	497
Central Coast	2006	3	0	33800	213
Central Coast	2006	3	0	41600	114
Central Coast	2006	3	0	52000	205
Central Coast	2006	3	0	78000	70
Central Coast	2006	3	0	104000	16
Central Coast	2006	3	0	130000	6
Central Coast	2006	3	0	156000	3
Central Coast	2006	3	0	208000	0
Central Coast	2006	3	1		1088
Central Coast	2006	3	1	-1	17
Central Coast	2006	3	1	52	25
Central Coast	2006	3	1	7800	18
Central Coast	2006	3	1	15600	33
Central Coast	2006	3	1	20800	57
Central Coast	2006	3	1	26000	196
Central Coast	2006	3	1	33800	250
Central Coast	2006	3	1	41600	428
Central Coast	2006	3	1	52000	1615
Central Coast	2006	3	1	78000	1000
Central Coast	2006	3	1	104000	568
Central Coast	2006	3	1	130000	510
Central Coast	2006	3	1	156000	336
Central Coast	2006	3	1	208000	83
Central Coast	2006	4	0		124
Central Coast	2006	4	0	-1	5
Central Coast	2006	4	0	52	4
Central Coast	2006	4	0	7800	24
Central Coast	2006	4	0	15600	31
Central Coast	2006	4	0	20800	3
Central Coast	2006	4	0	26000	147
Central Coast	2006	4	0	33800	109
Central Coast	2006	4	0	41600	54
Central Coast	2006	4	0	52000	60
Central Coast	2006	4	0	78000	24
Central Coast	2006	4	0	104000	8
Central Coast	2006	4	0	130000	3
Central Coast	2006	4	0	156000	0
Central Coast	2006	4	0	208000	0
Central Coast	2006	4	1		435
Central Coast	2006	4	1	-1	0
Central Coast	2006	4	1	52	7
Central Coast	2006	4	1	7800	6
Central Coast	2006	4	1	15600	11
Central Coast	2006	4	1	20800	28
Central Coast	2006	4	1	26000	77
Central Coast	2006	4	1	33800	88
Central Coast	2006	4	1	41600	126
Central Coast	2006	4	1	52000	539
Central Coast	2006	4	1	78000	313
Central Coast	2006	4	1	104000	147
Central Coast	2006	4	1	130000	139
Central Coast	2006	4	1	156000	86
Central Coast	2006	4	1	208000	30
Central Coast	2011	1	0		1017
Central Coast	2011	1	0	-1	77
Central Coast	2011	1	0	52	95
Central Coast	2011	1	0	7800	388
Central Coast	2011	1	0	15600	614
Central Coast	2011	1	0	20800	1237
Central Coast	2011	1	0	26000	531
Central Coast	2011	1	0	33800	1338
Central Coast	2011	1	0	41600	1103
Central Coast	2011	1	0	52000	1568
Central Coast	2011	1	0	78000	654
Central Coast	2011	1	0	104000	298
Central Coast	2011	1	0	130000	148
Central Coast	2011	1	0	156000	72
Central Coast	2011	1	0	208000	9
Central Coast	2011	1	1		1575
Central Coast	2011	1	1	-1	55
Central Coast	2011	1	1	52	23
Central Coast	2011	1	1	7800	71
Central Coast	2011	1	1	15600	54
Central Coast	2011	1	1	20800	85
Central Coast	2011	1	1	26000	327
Central Coast	2011	1	1	33800	510
Central Coast	2011	1	1	41600	632
Central Coast	2011	1	1	52000	2365
Central Coast	2011	1	1	78000	2045
Central Coast	2011	1	1	104000	1716
Central Coast	2011	1	1	130000	1102
Central Coast	2011	1	1	156000	1105
Central Coast	2011	1	1	208000	366
Central Coast	2011	2	0		671
Central Coast	2011	2	0	-1	47
Central Coast	2011	2	0	52	47
Central Coast	2011	2	0	7800	178
Central Coast	2011	2	0	15600	268
Central Coast	2011	2	0	20800	880
Central Coast	2011	2	0	26000	191
Central Coast	2011	2	0	33800	607
Central Coast	2011	2	0	41600	475
Central Coast	2011	2	0	52000	809
Central Coast	2011	2	0	78000	391
Central Coast	2011	2	0	104000	131
Central Coast	2011	2	0	130000	127
Central Coast	2011	2	0	156000	45
Central Coast	2011	2	0	208000	15
Central Coast	2011	2	1		2072
Central Coast	2011	2	1	-1	39
Central Coast	2011	2	1	52	21
Central Coast	2011	2	1	7800	50
Central Coast	2011	2	1	15600	46
Central Coast	2011	2	1	20800	68
Central Coast	2011	2	1	26000	171
Central Coast	2011	2	1	33800	387
Central Coast	2011	2	1	41600	702
Central Coast	2011	2	1	52000	2517
Central Coast	2011	2	1	78000	2654
Central Coast	2011	2	1	104000	2136
Central Coast	2011	2	1	130000	1730
Central Coast	2011	2	1	156000	1616
Central Coast	2011	2	1	208000	516
Central Coast	2011	3	0		331
Central Coast	2011	3	0	-1	18
Central Coast	2011	3	0	52	9
Central Coast	2011	3	0	7800	52
Central Coast	2011	3	0	15600	82
Central Coast	2011	3	0	20800	275
Central Coast	2011	3	0	26000	81
Central Coast	2011	3	0	33800	310
Central Coast	2011	3	0	41600	179
Central Coast	2011	3	0	52000	242
Central Coast	2011	3	0	78000	120
Central Coast	2011	3	0	104000	54
Central Coast	2011	3	0	130000	39
Central Coast	2011	3	0	156000	23
Central Coast	2011	3	0	208000	10
Central Coast	2011	3	1		936
Central Coast	2011	3	1	-1	14
Central Coast	2011	3	1	52	9
Central Coast	2011	3	1	7800	25
Central Coast	2011	3	1	15600	22
Central Coast	2011	3	1	20800	22
Central Coast	2011	3	1	26000	100
Central Coast	2011	3	1	33800	151
Central Coast	2011	3	1	41600	271
Central Coast	2011	3	1	52000	1146
Central Coast	2011	3	1	78000	1061
Central Coast	2011	3	1	104000	800
Central Coast	2011	3	1	130000	698
Central Coast	2011	3	1	156000	612
Central Coast	2011	3	1	208000	205
Central Coast	2011	4	0		135
Central Coast	2011	4	0	-1	3
Central Coast	2011	4	0	52	3
Central Coast	2011	4	0	7800	18
Central Coast	2011	4	0	15600	25
Central Coast	2011	4	0	20800	80
Central Coast	2011	4	0	26000	32
Central Coast	2011	4	0	33800	138
Central Coast	2011	4	0	41600	96
Central Coast	2011	4	0	52000	103
Central Coast	2011	4	0	78000	40
Central Coast	2011	4	0	104000	15
Central Coast	2011	4	0	130000	11
Central Coast	2011	4	0	156000	5
Central Coast	2011	4	0	208000	3
Central Coast	2011	4	1		431
Central Coast	2011	4	1	-1	7
Central Coast	2011	4	1	52	0
Central Coast	2011	4	1	7800	8
Central Coast	2011	4	1	15600	3
Central Coast	2011	4	1	20800	9
Central Coast	2011	4	1	26000	40
Central Coast	2011	4	1	33800	59
Central Coast	2011	4	1	41600	120
Central Coast	2011	4	1	52000	408
Central Coast	2011	4	1	78000	370
Central Coast	2011	4	1	104000	253
Central Coast	2011	4	1	130000	209
Central Coast	2011	4	1	156000	159
Central Coast	2011	4	1	208000	76
Central Coast	2016	1	0		972
Central Coast	2016	1	0	-1	143
Central Coast	2016	1	0	52	76
Central Coast	2016	1	0	7800	242
Central Coast	2016	1	0	15600	311
Central Coast	2016	1	0	20800	596
Central Coast	2016	1	0	26000	910
Central Coast	2016	1	0	33800	933
Central Coast	2016	1	0	41600	1214
Central Coast	2016	1	0	52000	1977
Central Coast	2016	1	0	78000	1093
Central Coast	2016	1	0	104000	550
Central Coast	2016	1	0	130000	206
Central Coast	2016	1	0	156000	131
Central Coast	2016	1	0	208000	69
Central Coast	2016	1	1		1613
Central Coast	2016	1	1	-1	36
Central Coast	2016	1	1	52	27
Central Coast	2016	1	1	7800	30
Central Coast	2016	1	1	15600	34
Central Coast	2016	1	1	20800	90
Central Coast	2016	1	1	26000	120
Central Coast	2016	1	1	33800	265
Central Coast	2016	1	1	41600	532
Central Coast	2016	1	1	52000	1975
Central Coast	2016	1	1	78000	2176
Central Coast	2016	1	1	104000	2092
Central Coast	2016	1	1	130000	1420
Central Coast	2016	1	1	156000	1517
Central Coast	2016	1	1	208000	897
Central Coast	2016	2	0		648
Central Coast	2016	2	0	-1	61
Central Coast	2016	2	0	52	27
Central Coast	2016	2	0	7800	90
Central Coast	2016	2	0	15600	183
Central Coast	2016	2	0	20800	269
Central Coast	2016	2	0	26000	613
Central Coast	2016	2	0	33800	520
Central Coast	2016	2	0	41600	458
Central Coast	2016	2	0	52000	955
Central Coast	2016	2	0	78000	555
Central Coast	2016	2	0	104000	336
Central Coast	2016	2	0	130000	133
Central Coast	2016	2	0	156000	124
Central Coast	2016	2	0	208000	40
Central Coast	2016	2	1		1894
Central Coast	2016	2	1	-1	30
Central Coast	2016	2	1	52	20
Central Coast	2016	2	1	7800	33
Central Coast	2016	2	1	15600	16
Central Coast	2016	2	1	20800	49
Central Coast	2016	2	1	26000	99
Central Coast	2016	2	1	33800	205
Central Coast	2016	2	1	41600	392
Central Coast	2016	2	1	52000	1882
Central Coast	2016	2	1	78000	2375
Central Coast	2016	2	1	104000	2593
Central Coast	2016	2	1	130000	2059
Central Coast	2016	2	1	156000	2134
Central Coast	2016	2	1	208000	1475
Central Coast	2016	3	0		268
Central Coast	2016	3	0	-1	19
Central Coast	2016	3	0	52	10
Central Coast	2016	3	0	7800	25
Central Coast	2016	3	0	15600	47
Central Coast	2016	3	0	20800	84
Central Coast	2016	3	0	26000	209
Central Coast	2016	3	0	33800	251
Central Coast	2016	3	0	41600	213
Central Coast	2016	3	0	52000	315
Central Coast	2016	3	0	78000	168
Central Coast	2016	3	0	104000	101
Central Coast	2016	3	0	130000	39
Central Coast	2016	3	0	156000	42
Central Coast	2016	3	0	208000	9
Central Coast	2016	3	1		948
Central Coast	2016	3	1	-1	12
Central Coast	2016	3	1	52	3
Central Coast	2016	3	1	7800	9
Central Coast	2016	3	1	15600	6
Central Coast	2016	3	1	20800	23
Central Coast	2016	3	1	26000	40
Central Coast	2016	3	1	33800	68
Central Coast	2016	3	1	41600	145
Central Coast	2016	3	1	52000	753
Central Coast	2016	3	1	78000	1002
Central Coast	2016	3	1	104000	1001
Central Coast	2016	3	1	130000	729
Central Coast	2016	3	1	156000	771
Central Coast	2016	3	1	208000	652
Central Coast	2016	4	0		91
Central Coast	2016	4	0	-1	15
Central Coast	2016	4	0	52	4
Central Coast	2016	4	0	7800	12
Central Coast	2016	4	0	15600	16
Central Coast	2016	4	0	20800	21
Central Coast	2016	4	0	26000	48
Central Coast	2016	4	0	33800	88
Central Coast	2016	4	0	41600	96
Central Coast	2016	4	0	52000	122
Central Coast	2016	4	0	78000	65
Central Coast	2016	4	0	104000	34
Central Coast	2016	4	0	130000	10
Central Coast	2016	4	0	156000	14
Central Coast	2016	4	0	208000	3
Central Coast	2016	4	1		326
Central Coast	2016	4	1	-1	6
Central Coast	2016	4	1	52	7
Central Coast	2016	4	1	7800	0
Central Coast	2016	4	1	15600	0
Central Coast	2016	4	1	20800	12
Central Coast	2016	4	1	26000	20
Central Coast	2016	4	1	33800	32
Central Coast	2016	4	1	41600	63
Central Coast	2016	4	1	52000	286
Central Coast	2016	4	1	78000	337
Central Coast	2016	4	1	104000	289
Central Coast	2016	4	1	130000	229
Central Coast	2016	4	1	156000	221
Central Coast	2016	4	1	208000	205
Central West	2006	1	0		489
Central West	2006	1	0	-1	42
Central West	2006	1	0	52	86
Central West	2006	1	0	7800	383
Central West	2006	1	0	15600	690
Central West	2006	1	0	20800	254
Central West	2006	1	0	26000	887
Central West	2006	1	0	33800	371
Central West	2006	1	0	41600	393
Central West	2006	1	0	52000	596
Central West	2006	1	0	78000	130
Central West	2006	1	0	104000	28
Central West	2006	1	0	130000	27
Central West	2006	1	0	156000	15
Central West	2006	1	0	208000	7
Central West	2006	1	1		1053
Central West	2006	1	1	-1	34
Central West	2006	1	1	52	39
Central West	2006	1	1	7800	41
Central West	2006	1	1	15600	58
Central West	2006	1	1	20800	210
Central West	2006	1	1	26000	539
Central West	2006	1	1	33800	449
Central West	2006	1	1	41600	602
Central West	2006	1	1	52000	1727
Central West	2006	1	1	78000	1165
Central West	2006	1	1	104000	611
Central West	2006	1	1	130000	365
Central West	2006	1	1	156000	249
Central West	2006	1	1	208000	91
Central West	2006	2	0		273
Central West	2006	2	0	-1	12
Central West	2006	2	0	52	39
Central West	2006	2	0	7800	147
Central West	2006	2	0	15600	375
Central West	2006	2	0	20800	34
Central West	2006	2	0	26000	564
Central West	2006	2	0	33800	217
Central West	2006	2	0	41600	181
Central West	2006	2	0	52000	238
Central West	2006	2	0	78000	61
Central West	2006	2	0	104000	16
Central West	2006	2	0	130000	14
Central West	2006	2	0	156000	6
Central West	2006	2	0	208000	3
Central West	2006	2	1		1131
Central West	2006	2	1	-1	34
Central West	2006	2	1	52	38
Central West	2006	2	1	7800	56
Central West	2006	2	1	15600	51
Central West	2006	2	1	20800	137
Central West	2006	2	1	26000	403
Central West	2006	2	1	33800	390
Central West	2006	2	1	41600	622
Central West	2006	2	1	52000	2157
Central West	2006	2	1	78000	1415
Central West	2006	2	1	104000	786
Central West	2006	2	1	130000	569
Central West	2006	2	1	156000	286
Central West	2006	2	1	208000	78
Central West	2006	3	0		130
Central West	2006	3	0	-1	4
Central West	2006	3	0	52	6
Central West	2006	3	0	7800	41
Central West	2006	3	0	15600	116
Central West	2006	3	0	20800	16
Central West	2006	3	0	26000	242
