SA4_NAME16	Year	medianTotalHouseholdIncomeWeekly
Western Australia - Outback (North)	2011	1953
Western Australia - Outback (South)	2011	1278
Migratory - Offshore - Shipping (WA)	2011	0
No usual address (WA)	2011	0
Hobart	2011	1062
Launceston and North East	2011	895
South East	2011	828
West and North West	2011	868
Migratory - Offshore - Shipping (Tas.)	2011	0
No usual address (Tas.)	2011	0
Darwin	2011	1723
Northern Territory - Outback	2011	1384
Migratory - Offshore - Shipping (NT)	2011	0
No usual address (NT)	2011	0
Australian Capital Territory	2011	1883
Migratory - Offshore - Shipping (ACT)	2011	0
No usual address (ACT)	2011	0
Other Territories	2011	1660
Migratory - Offshore - Shipping (OT)	2011	0
No usual address (OT)	2011	0
Capital Region	2016	1235
Central Coast	2016	1256
Central West	2016	1167
Coffs Harbour - Grafton	2016	1013
Far West and Orana	2016	1106
Hunter Valley exc Newcastle	2016	1284
Illawarra	2016	1349
Mid North Coast	2016	939
Murray	2016	1115
New England and North West	2016	1104
Newcastle and Lake Macquarie	2016	1328
Richmond - Tweed	2016	1064
Riverina	2016	1230
Southern Highlands and Shoalhaven	2016	1091
Sydney - Baulkham Hills and Hawkesbury	2016	2265
Sydney - Blacktown	2016	1710
Sydney - City and Inner South	2016	1886
Sydney - Eastern Suburbs	2016	2157
Sydney - Inner South West	2016	1429
Sydney - Inner West	2016	1959
Sydney - North Sydney and Hornsby	2016	2329
Sydney - Northern Beaches	2016	2173
Sydney - Outer South West	2016	1634
Sydney - Outer West and Blue Mountains	2016	1585
Sydney - Parramatta	2016	1517
Sydney - Ryde	2016	1913
Sydney - South West	2016	1427
Sydney - Sutherland	2016	1975
Migratory - Offshore - Shipping (NSW)	2016	0
No usual address (NSW)	2016	0
Ballarat	2016	1097
Bendigo	2016	1158
Geelong	2016	1285
Hume	2016	1132
Latrobe - Gippsland	2016	1050
Melbourne - Inner	2016	1694
Melbourne - Inner East	2016	1752
Melbourne - Inner South	2016	1787
Melbourne - North East	2016	1521
Melbourne - North West	2016	1420
Melbourne - Outer East	2016	1556
Melbourne - South East	2016	1442
Melbourne - West	2016	1483
Mornington Peninsula	2016	1301
North West	2016	1016
Shepparton	2016	1102
Warrnambool and South West	2016	1103
Migratory - Offshore - Shipping (Vic.)	2016	0
No usual address (Vic.)	2016	0
Brisbane - East	2016	1599
Brisbane - North	2016	1619
Brisbane - South	2016	1674
Brisbane - West	2016	1967
Brisbane Inner City	2016	1916
Cairns	2016	1216
Darling Downs - Maranoa	2016	1127
Central Queensland	2016	1398
Gold Coast	2016	1397
Ipswich	2016	1360
Logan - Beaudesert	2016	1397
Mackay - Isaac - Whitsunday	2016	1436
Moreton Bay - North	2016	1185
Moreton Bay - South	2016	1737
Queensland - Outback	2016	1302
Sunshine Coast	2016	1254
Toowoomba	2016	1295
Townsville	2016	1346
Wide Bay	2016	935
Migratory - Offshore - Shipping (Qld)	2016	0
No usual address (Qld)	2016	0
Adelaide - Central and Hills	2016	1467
Adelaide - North	2016	1178
Adelaide - South	2016	1281
Adelaide - West	2016	1192
Barossa - Yorke - Mid North	2016	1025
South Australia - Outback	2016	1122
South Australia - South East	2016	997
Migratory - Offshore - Shipping (SA)	2016	0
No usual address (SA)	2016	0
Bunbury	2016	1316
Mandurah	2016	1167
Perth - Inner	2016	2023
Perth - North East	2016	1585
Perth - North West	2016	1707
Perth - South East	2016	1558
Perth - South West	2016	1662
Western Australia - Wheat Belt	2016	1191
Western Australia - Outback (North)	2016	2036
Western Australia - Outback (South)	2016	1423
Migratory - Offshore - Shipping (WA)	2016	0
No usual address (WA)	2016	0
Hobart	2016	1232
Launceston and North East	2016	1015
South East	2016	966
West and North West	2016	991
Migratory - Offshore - Shipping (Tas.)	2016	0
No usual address (Tas.)	2016	0
Darwin	2016	2145
Northern Territory - Outback	2016	1498
Migratory - Offshore - Shipping (NT)	2016	0
No usual address (NT)	2016	0
Australian Capital Territory	2016	2067
Migratory - Offshore - Shipping (ACT)	2016	0
No usual address (ACT)	2016	0
Other Territories	2016	1398
Migratory - Offshore - Shipping (OT)	2016	0
No usual address (OT)	2016	0
