SA4_NAME16	Year	Age	NonSchoolQualification	Sex	adults
Capital Region	2006	25-34	Advanced Diploma and Diploma	M	523
Capital Region	2006	25-34	Bachelor	F	1709
Capital Region	2006	25-34	Bachelor	M	982
Capital Region	2006	25-34	Graduate Diploma and Graduate Certificate	F	195
Capital Region	2006	25-34	Graduate Diploma and Graduate Certificate	M	83
Capital Region	2006	25-34	Postgraduate	F	167
Capital Region	2006	25-34	Postgraduate	M	156
Capital Region	2006	35-44		F	1610
Capital Region	2006	35-44		M	1459
Capital Region	2006	35-44	Certificate nfd	F	499
Capital Region	2006	35-44	Certificate nfd	M	178
Capital Region	2006	35-44	Certificate I and II Level	F	362
Capital Region	2006	35-44	Certificate I and II Level	M	127
Capital Region	2006	35-44	Certificate III and IV Level	F	1652
Capital Region	2006	35-44	Certificate III and IV Level	M	4264
Capital Region	2006	35-44	Advanced Diploma and Diploma	F	1385
Capital Region	2006	35-44	Advanced Diploma and Diploma	M	913
Capital Region	2006	35-44	Bachelor	F	1882
Capital Region	2006	35-44	Bachelor	M	1238
Capital Region	2006	35-44	Graduate Diploma and Graduate Certificate	F	357
Capital Region	2006	35-44	Graduate Diploma and Graduate Certificate	M	216
Capital Region	2006	35-44	Postgraduate	F	359
Capital Region	2006	35-44	Postgraduate	M	431
Capital Region	2006	45-54		F	1826
Capital Region	2006	45-54		M	1629
Capital Region	2006	45-54	Certificate nfd	F	489
Capital Region	2006	45-54	Certificate nfd	M	250
Capital Region	2006	45-54	Certificate I and II Level	F	266
Capital Region	2006	45-54	Certificate I and II Level	M	87
Capital Region	2006	45-54	Certificate III and IV Level	F	1381
Capital Region	2006	45-54	Certificate III and IV Level	M	4327
Capital Region	2006	45-54	Advanced Diploma and Diploma	F	1579
Capital Region	2006	45-54	Advanced Diploma and Diploma	M	1046
Capital Region	2006	45-54	Bachelor	F	1858
Capital Region	2006	45-54	Bachelor	M	1451
Capital Region	2006	45-54	Graduate Diploma and Graduate Certificate	F	520
Capital Region	2006	45-54	Graduate Diploma and Graduate Certificate	M	302
Capital Region	2006	45-54	Postgraduate	F	366
Capital Region	2006	45-54	Postgraduate	M	458
Capital Region	2006	55-64		F	1712
Capital Region	2006	55-64		M	1525
Capital Region	2006	55-64	Certificate nfd	F	328
Capital Region	2006	55-64	Certificate nfd	M	188
Capital Region	2006	55-64	Certificate I and II Level	F	152
Capital Region	2006	55-64	Certificate I and II Level	M	73
Capital Region	2006	55-64	Certificate III and IV Level	F	712
Capital Region	2006	55-64	Certificate III and IV Level	M	3430
Capital Region	2006	55-64	Advanced Diploma and Diploma	F	1226
Capital Region	2006	55-64	Advanced Diploma and Diploma	M	916
Capital Region	2006	55-64	Bachelor	F	1176
Capital Region	2006	55-64	Bachelor	M	1160
Capital Region	2006	55-64	Graduate Diploma and Graduate Certificate	F	308
Capital Region	2006	55-64	Graduate Diploma and Graduate Certificate	M	207
Capital Region	2006	55-64	Postgraduate	F	257
Capital Region	2006	55-64	Postgraduate	M	481
Capital Region	2006	65-74		F	1650
Capital Region	2006	65-74		M	1227
Capital Region	2006	65-74	Certificate nfd	F	137
Capital Region	2006	65-74	Certificate nfd	M	94
Capital Region	2006	65-74	Certificate I and II Level	F	46
Capital Region	2006	65-74	Certificate I and II Level	M	38
Capital Region	2006	65-74	Certificate III and IV Level	F	265
Capital Region	2006	65-74	Certificate III and IV Level	M	2168
Capital Region	2006	65-74	Advanced Diploma and Diploma	F	564
Capital Region	2006	65-74	Advanced Diploma and Diploma	M	484
Capital Region	2006	65-74	Bachelor	F	525
Capital Region	2006	65-74	Bachelor	M	535
Capital Region	2006	65-74	Graduate Diploma and Graduate Certificate	F	87
Capital Region	2006	65-74	Graduate Diploma and Graduate Certificate	M	57
Capital Region	2006	65-74	Postgraduate	F	73
Capital Region	2006	65-74	Postgraduate	M	199
Capital Region	2006	75-84		F	1533
Capital Region	2006	75-84		M	1039
Capital Region	2006	75-84	Certificate nfd	F	72
Capital Region	2006	75-84	Certificate nfd	M	65
Capital Region	2006	75-84	Certificate I and II Level	F	20
Capital Region	2006	75-84	Certificate I and II Level	M	8
Capital Region	2006	75-84	Certificate III and IV Level	F	131
Capital Region	2006	75-84	Certificate III and IV Level	M	917
Capital Region	2006	75-84	Advanced Diploma and Diploma	F	247
Capital Region	2006	75-84	Advanced Diploma and Diploma	M	227
Capital Region	2006	75-84	Bachelor	F	200
Capital Region	2006	75-84	Bachelor	M	280
Capital Region	2006	75-84	Graduate Diploma and Graduate Certificate	F	18
Capital Region	2006	75-84	Graduate Diploma and Graduate Certificate	M	11
Capital Region	2006	75-84	Postgraduate	F	20
Capital Region	2006	75-84	Postgraduate	M	71
Capital Region	2006	85+		F	559
Capital Region	2006	85+		M	294
Capital Region	2006	85+	Certificate nfd	F	12
Capital Region	2006	85+	Certificate nfd	M	5
Capital Region	2006	85+	Certificate I and II Level	F	3
Capital Region	2006	85+	Certificate I and II Level	M	0
Capital Region	2006	85+	Certificate III and IV Level	F	34
Capital Region	2006	85+	Certificate III and IV Level	M	166
Capital Region	2006	85+	Advanced Diploma and Diploma	F	69
Capital Region	2006	85+	Advanced Diploma and Diploma	M	47
Capital Region	2006	85+	Bachelor	F	47
Capital Region	2006	85+	Bachelor	M	38
Capital Region	2006	85+	Graduate Diploma and Graduate Certificate	F	5
Capital Region	2006	85+	Graduate Diploma and Graduate Certificate	M	0
Capital Region	2006	85+	Postgraduate	F	0
Capital Region	2006	85+	Postgraduate	M	8
Capital Region	2011	15-19		F	669
Capital Region	2011	15-19		M	757
Capital Region	2011	15-19	Certificate nfd	F	32
Capital Region	2011	15-19	Certificate nfd	M	24
Capital Region	2011	15-19	Certificate I and II Level	F	119
Capital Region	2011	15-19	Certificate I and II Level	M	78
Capital Region	2011	15-19	Certificate III and IV Level	F	205
Capital Region	2011	15-19	Certificate III and IV Level	M	260
Capital Region	2011	15-19	Advanced Diploma and Diploma	F	26
Capital Region	2011	15-19	Advanced Diploma and Diploma	M	13
Capital Region	2011	15-19	Bachelor	F	3
Capital Region	2011	15-19	Bachelor	M	0
Capital Region	2011	15-19	Graduate Diploma and Graduate Certificate	F	0
Capital Region	2011	15-19	Graduate Diploma and Graduate Certificate	M	0
Capital Region	2011	15-19	Postgraduate	F	0
Capital Region	2011	15-19	Postgraduate	M	0
Capital Region	2011	20-24		F	376
Capital Region	2011	20-24		M	541
Capital Region	2011	20-24	Certificate nfd	F	102
Capital Region	2011	20-24	Certificate nfd	M	50
Capital Region	2011	20-24	Certificate I and II Level	F	167
Capital Region	2011	20-24	Certificate I and II Level	M	136
Capital Region	2011	20-24	Certificate III and IV Level	F	887
Capital Region	2011	20-24	Certificate III and IV Level	M	1301
Capital Region	2011	20-24	Advanced Diploma and Diploma	F	324
Capital Region	2011	20-24	Advanced Diploma and Diploma	M	130
Capital Region	2011	20-24	Bachelor	F	341
Capital Region	2011	20-24	Bachelor	M	186
Capital Region	2011	20-24	Graduate Diploma and Graduate Certificate	F	22
Capital Region	2011	20-24	Graduate Diploma and Graduate Certificate	M	6
Capital Region	2011	20-24	Postgraduate	F	6
Capital Region	2011	20-24	Postgraduate	M	7
Capital Region	2011	25-34		F	833
Capital Region	2011	25-34		M	1123
Capital Region	2011	25-34	Certificate nfd	F	229
Capital Region	2011	25-34	Certificate nfd	M	107
Capital Region	2011	25-34	Certificate I and II Level	F	307
Capital Region	2011	25-34	Certificate I and II Level	M	152
Capital Region	2011	25-34	Certificate III and IV Level	F	1902
Capital Region	2011	25-34	Certificate III and IV Level	M	3071
Capital Region	2011	25-34	Advanced Diploma and Diploma	F	1053
Capital Region	2011	25-34	Advanced Diploma and Diploma	M	583
Capital Region	2011	25-34	Bachelor	F	1997
Capital Region	2011	25-34	Bachelor	M	1011
Capital Region	2011	25-34	Graduate Diploma and Graduate Certificate	F	261
Capital Region	2011	25-34	Graduate Diploma and Graduate Certificate	M	102
Capital Region	2011	25-34	Postgraduate	F	291
Capital Region	2011	25-34	Postgraduate	M	238
Capital Region	2011	35-44		F	1201
Capital Region	2011	35-44		M	1394
Capital Region	2011	35-44	Certificate nfd	F	427
Capital Region	2011	35-44	Certificate nfd	M	163
Capital Region	2011	35-44	Certificate I and II Level	F	375
Capital Region	2011	35-44	Certificate I and II Level	M	128
Capital Region	2011	35-44	Certificate III and IV Level	F	2076
Capital Region	2011	35-44	Certificate III and IV Level	M	4210
Capital Region	2011	35-44	Advanced Diploma and Diploma	F	1698
Capital Region	2011	35-44	Advanced Diploma and Diploma	M	1061
Capital Region	2011	35-44	Bachelor	F	2412
Capital Region	2011	35-44	Bachelor	M	1434
Capital Region	2011	35-44	Graduate Diploma and Graduate Certificate	F	419
Capital Region	2011	35-44	Graduate Diploma and Graduate Certificate	M	248
Capital Region	2011	35-44	Postgraduate	F	530
Capital Region	2011	35-44	Postgraduate	M	561
Capital Region	2011	45-54		F	1548
Capital Region	2011	45-54		M	1536
Capital Region	2011	45-54	Certificate nfd	F	494
Capital Region	2011	45-54	Certificate nfd	M	187
Capital Region	2011	45-54	Certificate I and II Level	F	325
Capital Region	2011	45-54	Certificate I and II Level	M	133
Capital Region	2011	45-54	Certificate III and IV Level	F	1984
Capital Region	2011	45-54	Certificate III and IV Level	M	4775
Capital Region	2011	45-54	Advanced Diploma and Diploma	F	1720
Capital Region	2011	45-54	Advanced Diploma and Diploma	M	1183
Capital Region	2011	45-54	Bachelor	F	2148
Capital Region	2011	45-54	Bachelor	M	1431
Capital Region	2011	45-54	Graduate Diploma and Graduate Certificate	F	520
Capital Region	2011	45-54	Graduate Diploma and Graduate Certificate	M	309
Capital Region	2011	45-54	Postgraduate	F	504
Capital Region	2011	45-54	Postgraduate	M	602
Capital Region	2011	55-64		F	1765
Capital Region	2011	55-64		M	1530
Capital Region	2011	55-64	Certificate nfd	F	483
Capital Region	2011	55-64	Certificate nfd	M	245
Capital Region	2011	55-64	Certificate I and II Level	F	214
Capital Region	2011	55-64	Certificate I and II Level	M	101
Capital Region	2011	55-64	Certificate III and IV Level	F	1249
Capital Region	2011	55-64	Certificate III and IV Level	M	4009
Capital Region	2011	55-64	Advanced Diploma and Diploma	F	1587
Capital Region	2011	55-64	Advanced Diploma and Diploma	M	1166
Capital Region	2011	55-64	Bachelor	F	1700
Capital Region	2011	55-64	Bachelor	M	1546
Capital Region	2011	55-64	Graduate Diploma and Graduate Certificate	F	522
Capital Region	2011	55-64	Graduate Diploma and Graduate Certificate	M	348
Capital Region	2011	55-64	Postgraduate	F	477
Capital Region	2011	55-64	Postgraduate	M	622
Capital Region	2011	65-74		F	1712
Capital Region	2011	65-74		M	1357
Capital Region	2011	65-74	Certificate nfd	F	244
Capital Region	2011	65-74	Certificate nfd	M	133
Capital Region	2011	65-74	Certificate I and II Level	F	84
Capital Region	2011	65-74	Certificate I and II Level	M	40
Capital Region	2011	65-74	Certificate III and IV Level	F	399
Capital Region	2011	65-74	Certificate III and IV Level	M	2604
Capital Region	2011	65-74	Advanced Diploma and Diploma	F	852
Capital Region	2011	65-74	Advanced Diploma and Diploma	M	631
Capital Region	2011	65-74	Bachelor	F	830
Capital Region	2011	65-74	Bachelor	M	845
Capital Region	2011	65-74	Graduate Diploma and Graduate Certificate	F	188
Capital Region	2011	65-74	Graduate Diploma and Graduate Certificate	M	129
Capital Region	2011	65-74	Postgraduate	F	159
Capital Region	2011	65-74	Postgraduate	M	365
Capital Region	2011	75-84		F	1514
Capital Region	2011	75-84		M	994
Capital Region	2011	75-84	Certificate nfd	F	82
Capital Region	2011	75-84	Certificate nfd	M	64
Capital Region	2011	75-84	Certificate I and II Level	F	17
Capital Region	2011	75-84	Certificate I and II Level	M	11
Capital Region	2011	75-84	Certificate III and IV Level	F	116
Capital Region	2011	75-84	Certificate III and IV Level	M	1156
Capital Region	2011	75-84	Advanced Diploma and Diploma	F	299
Capital Region	2011	75-84	Advanced Diploma and Diploma	M	265
Capital Region	2011	75-84	Bachelor	F	262
Capital Region	2011	75-84	Bachelor	M	315
Capital Region	2011	75-84	Graduate Diploma and Graduate Certificate	F	35
Capital Region	2011	75-84	Graduate Diploma and Graduate Certificate	M	27
Capital Region	2011	75-84	Postgraduate	F	28
Capital Region	2011	75-84	Postgraduate	M	100
Capital Region	2011	85+		F	823
Capital Region	2011	85+		M	379
Capital Region	2011	85+	Certificate nfd	F	32
Capital Region	2011	85+	Certificate nfd	M	14
Capital Region	2011	85+	Certificate I and II Level	F	16
Capital Region	2011	85+	Certificate I and II Level	M	0
Capital Region	2011	85+	Certificate III and IV Level	F	51
Capital Region	2011	85+	Certificate III and IV Level	M	271
Capital Region	2011	85+	Advanced Diploma and Diploma	F	101
Capital Region	2011	85+	Advanced Diploma and Diploma	M	73
Capital Region	2011	85+	Bachelor	F	75
Capital Region	2011	85+	Bachelor	M	92
Capital Region	2011	85+	Graduate Diploma and Graduate Certificate	F	8
Capital Region	2011	85+	Graduate Diploma and Graduate Certificate	M	7
Capital Region	2011	85+	Postgraduate	F	7
Capital Region	2011	85+	Postgraduate	M	18
Capital Region	2016	15-19		F	756
Capital Region	2016	15-19		M	789
Capital Region	2016	15-19	Certificate nfd	F	39
Capital Region	2016	15-19	Certificate nfd	M	30
Capital Region	2016	15-19	Certificate I and II Level	F	111
Capital Region	2016	15-19	Certificate I and II Level	M	67
Capital Region	2016	15-19	Certificate III and IV Level	F	239
Capital Region	2016	15-19	Certificate III and IV Level	M	238
Capital Region	2016	15-19	Advanced Diploma and Diploma	F	26
Capital Region	2016	15-19	Advanced Diploma and Diploma	M	9
Capital Region	2016	15-19	Bachelor	F	0
Capital Region	2016	15-19	Bachelor	M	7
Capital Region	2016	15-19	Graduate Diploma and Graduate Certificate	F	0
Capital Region	2016	15-19	Graduate Diploma and Graduate Certificate	M	0
Capital Region	2016	15-19	Postgraduate	F	0
Capital Region	2016	15-19	Postgraduate	M	0
Capital Region	2016	20-24		F	470
Capital Region	2016	20-24		M	601
Capital Region	2016	20-24	Certificate nfd	F	115
Capital Region	2016	20-24	Certificate nfd	M	72
Capital Region	2016	20-24	Certificate I and II Level	F	202
Capital Region	2016	20-24	Certificate I and II Level	M	130
Capital Region	2016	20-24	Certificate III and IV Level	F	948
Capital Region	2016	20-24	Certificate III and IV Level	M	1419
Capital Region	2016	20-24	Advanced Diploma and Diploma	F	349
Capital Region	2016	20-24	Advanced Diploma and Diploma	M	168
Capital Region	2016	20-24	Bachelor	F	494
Capital Region	2016	20-24	Bachelor	M	217
Capital Region	2016	20-24	Graduate Diploma and Graduate Certificate	F	36
Capital Region	2016	20-24	Graduate Diploma and Graduate Certificate	M	6
Capital Region	2016	20-24	Postgraduate	F	17
Capital Region	2016	20-24	Postgraduate	M	10
Capital Region	2016	25-34		F	1023
Capital Region	2016	25-34		M	1343
Capital Region	2016	25-34	Certificate nfd	F	221
Capital Region	2016	25-34	Certificate nfd	M	144
Capital Region	2016	25-34	Certificate I and II Level	F	266
Capital Region	2016	25-34	Certificate I and II Level	M	147
Capital Region	2016	25-34	Certificate III and IV Level	F	2174
Capital Region	2016	25-34	Certificate III and IV Level	M	3702
Capital Region	2016	25-34	Advanced Diploma and Diploma	F	1295
Capital Region	2016	25-34	Advanced Diploma and Diploma	M	762
Capital Region	2016	25-34	Bachelor	F	2305
Capital Region	2016	25-34	Bachelor	M	1232
Capital Region	2016	25-34	Graduate Diploma and Graduate Certificate	F	307
Capital Region	2016	25-34	Graduate Diploma and Graduate Certificate	M	101
Capital Region	2016	25-34	Postgraduate	F	455
Capital Region	2016	25-34	Postgraduate	M	342
Capital Region	2016	35-44		F	1142
Capital Region	2016	35-44		M	1466
Capital Region	2016	35-44	Certificate nfd	F	363
Capital Region	2016	35-44	Certificate nfd	M	215
Capital Region	2016	35-44	Certificate I and II Level	F	251
Capital Region	2016	35-44	Certificate I and II Level	M	105
Capital Region	2016	35-44	Certificate III and IV Level	F	2181
Capital Region	2016	35-44	Certificate III and IV Level	M	3844
Capital Region	2016	35-44	Advanced Diploma and Diploma	F	1701
Capital Region	2016	35-44	Advanced Diploma and Diploma	M	1161
Capital Region	2016	35-44	Bachelor	F	2631
Capital Region	2016	35-44	Bachelor	M	1501
Capital Region	2016	35-44	Graduate Diploma and Graduate Certificate	F	490
Capital Region	2016	35-44	Graduate Diploma and Graduate Certificate	M	194
Capital Region	2016	35-44	Postgraduate	F	656
Capital Region	2016	35-44	Postgraduate	M	588
Capital Region	2016	45-54		F	1573
Capital Region	2016	45-54		M	1742
Capital Region	2016	45-54	Certificate nfd	F	608
Capital Region	2016	45-54	Certificate nfd	M	235
Capital Region	2016	45-54	Certificate I and II Level	F	313
Capital Region	2016	45-54	Certificate I and II Level	M	142
Capital Region	2016	45-54	Certificate III and IV Level	F	2299
Capital Region	2016	45-54	Certificate III and IV Level	M	4655
Capital Region	2016	45-54	Advanced Diploma and Diploma	F	2102
Capital Region	2016	45-54	Advanced Diploma and Diploma	M	1452
Capital Region	2016	45-54	Bachelor	F	2431
Capital Region	2016	45-54	Bachelor	M	1459
Capital Region	2016	45-54	Graduate Diploma and Graduate Certificate	F	530
Capital Region	2016	45-54	Graduate Diploma and Graduate Certificate	M	316
Capital Region	2016	45-54	Postgraduate	F	735
Capital Region	2016	45-54	Postgraduate	M	746
Capital Region	2016	55-64		F	1881
Capital Region	2016	55-64		M	1771
Capital Region	2016	55-64	Certificate nfd	F	695
Capital Region	2016	55-64	Certificate nfd	M	295
Capital Region	2016	55-64	Certificate I and II Level	F	293
Capital Region	2016	55-64	Certificate I and II Level	M	124
Capital Region	2016	55-64	Certificate III and IV Level	F	1751
Capital Region	2016	55-64	Certificate III and IV Level	M	4609
Capital Region	2016	55-64	Advanced Diploma and Diploma	F	2071
Capital Region	2016	55-64	Advanced Diploma and Diploma	M	1321
Capital Region	2016	55-64	Bachelor	F	2180
Capital Region	2016	55-64	Bachelor	M	1564
Capital Region	2016	55-64	Graduate Diploma and Graduate Certificate	F	659
Capital Region	2016	55-64	Graduate Diploma and Graduate Certificate	M	391
Capital Region	2016	55-64	Postgraduate	F	649
Capital Region	2016	55-64	Postgraduate	M	675
Capital Region	2016	65-74		F	2075
Capital Region	2016	65-74		M	1744
Capital Region	2016	65-74	Certificate nfd	F	543
Capital Region	2016	65-74	Certificate nfd	M	291
Capital Region	2016	65-74	Certificate I and II Level	F	163
Capital Region	2016	65-74	Certificate I and II Level	M	77
Capital Region	2016	65-74	Certificate III and IV Level	F	705
Capital Region	2016	65-74	Certificate III and IV Level	M	3330
Capital Region	2016	65-74	Advanced Diploma and Diploma	F	1282
Capital Region	2016	65-74	Advanced Diploma and Diploma	M	1003
Capital Region	2016	65-74	Bachelor	F	1268
Capital Region	2016	65-74	Bachelor	M	1270
Capital Region	2016	65-74	Graduate Diploma and Graduate Certificate	F	326
Capital Region	2016	65-74	Graduate Diploma and Graduate Certificate	M	246
Capital Region	2016	65-74	Postgraduate	F	333
Capital Region	2016	65-74	Postgraduate	M	548
Capital Region	2016	75-84		F	1636
Capital Region	2016	75-84		M	1224
Capital Region	2016	75-84	Certificate nfd	F	183
Capital Region	2016	75-84	Certificate nfd	M	128
Capital Region	2016	75-84	Certificate I and II Level	F	27
Capital Region	2016	75-84	Certificate I and II Level	M	28
Capital Region	2016	75-84	Certificate III and IV Level	F	192
Capital Region	2016	75-84	Certificate III and IV Level	M	1494
Capital Region	2016	75-84	Advanced Diploma and Diploma	F	462
Capital Region	2016	75-84	Advanced Diploma and Diploma	M	359
Capital Region	2016	75-84	Bachelor	F	427
Capital Region	2016	75-84	Bachelor	M	425
Capital Region	2016	75-84	Graduate Diploma and Graduate Certificate	F	59
Capital Region	2016	75-84	Graduate Diploma and Graduate Certificate	M	48
Capital Region	2016	75-84	Postgraduate	F	60
Capital Region	2016	75-84	Postgraduate	M	160
Capital Region	2016	85+		F	1070
Capital Region	2016	85+		M	480
Capital Region	2016	85+	Certificate nfd	F	62
Capital Region	2016	85+	Certificate nfd	M	36
Capital Region	2016	85+	Certificate I and II Level	F	15
Capital Region	2016	85+	Certificate I and II Level	M	4
Capital Region	2016	85+	Certificate III and IV Level	F	61
Capital Region	2016	85+	Certificate III and IV Level	M	365
Capital Region	2016	85+	Advanced Diploma and Diploma	F	141
Capital Region	2016	85+	Advanced Diploma and Diploma	M	78
Capital Region	2016	85+	Bachelor	F	111
Capital Region	2016	85+	Bachelor	M	131
Capital Region	2016	85+	Graduate Diploma and Graduate Certificate	F	3
Capital Region	2016	85+	Graduate Diploma and Graduate Certificate	M	10
Capital Region	2016	85+	Postgraduate	F	17
Capital Region	2016	85+	Postgraduate	M	33
Central Coast	2006	15-19		F	1254
Central Coast	2006	15-19		M	1303
Central Coast	2006	15-19	Certificate nfd	F	62
Central Coast	2006	15-19	Certificate nfd	M	45
Central Coast	2006	15-19	Certificate I and II Level	F	161
Central Coast	2006	15-19	Certificate I and II Level	M	125
Central Coast	2006	15-19	Certificate III and IV Level	F	317
Central Coast	2006	15-19	Certificate III and IV Level	M	363
Central Coast	2006	15-19	Advanced Diploma and Diploma	F	110
Central Coast	2006	15-19	Advanced Diploma and Diploma	M	20
Central Coast	2006	15-19	Bachelor	F	7
Central Coast	2006	15-19	Bachelor	M	3
Central Coast	2006	15-19	Graduate Diploma and Graduate Certificate	F	0
Central Coast	2006	15-19	Graduate Diploma and Graduate Certificate	M	0
Central Coast	2006	15-19	Postgraduate	F	0
Central Coast	2006	15-19	Postgraduate	M	0
Central Coast	2006	20-24		F	745
Central Coast	2006	20-24		M	834
Central Coast	2006	20-24	Certificate nfd	F	199
Central Coast	2006	20-24	Certificate nfd	M	136
Central Coast	2006	20-24	Certificate I and II Level	F	306
Central Coast	2006	20-24	Certificate I and II Level	M	192
Central Coast	2006	20-24	Certificate III and IV Level	F	1469
Central Coast	2006	20-24	Certificate III and IV Level	M	1826
Central Coast	2006	20-24	Advanced Diploma and Diploma	F	564
Central Coast	2006	20-24	Advanced Diploma and Diploma	M	300
Central Coast	2006	20-24	Bachelor	F	660
Central Coast	2006	20-24	Bachelor	M	339
Central Coast	2006	20-24	Graduate Diploma and Graduate Certificate	F	16
Central Coast	2006	20-24	Graduate Diploma and Graduate Certificate	M	5
Central Coast	2006	20-24	Postgraduate	F	10
Central Coast	2006	20-24	Postgraduate	M	3
Central Coast	2006	25-34		F	1588
Central Coast	2006	25-34		M	1575
Central Coast	2006	25-34	Certificate nfd	F	572
Central Coast	2006	25-34	Certificate nfd	M	216
Central Coast	2006	25-34	Certificate I and II Level	F	479
Central Coast	2006	25-34	Certificate I and II Level	M	206
Central Coast	2006	25-34	Certificate III and IV Level	F	2550
Central Coast	2006	25-34	Certificate III and IV Level	M	4927
Central Coast	2006	25-34	Advanced Diploma and Diploma	F	1798
Central Coast	2006	25-34	Advanced Diploma and Diploma	M	1063
Central Coast	2006	25-34	Bachelor	F	2626
Central Coast	2006	25-34	Bachelor	M	1462
Central Coast	2006	25-34	Graduate Diploma and Graduate Certificate	F	216
Central Coast	2006	25-34	Graduate Diploma and Graduate Certificate	M	89
Central Coast	2006	25-34	Postgraduate	F	190
Central Coast	2006	25-34	Postgraduate	M	157
Central Coast	2006	35-44		F	2495
Central Coast	2006	35-44		M	2075
Central Coast	2006	35-44	Certificate nfd	F	821
Central Coast	2006	35-44	Certificate nfd	M	295
Central Coast	2006	35-44	Certificate I and II Level	F	489
Central Coast	2006	35-44	Certificate I and II Level	M	163
Central Coast	2006	35-44	Certificate III and IV Level	F	2439
Central Coast	2006	35-44	Certificate III and IV Level	M	6560
Central Coast	2006	35-44	Advanced Diploma and Diploma	F	2352
Central Coast	2006	35-44	Advanced Diploma and Diploma	M	1480
Central Coast	2006	35-44	Bachelor	F	2265
Central Coast	2006	35-44	Bachelor	M	1524
Central Coast	2006	35-44	Graduate Diploma and Graduate Certificate	F	344
Central Coast	2006	35-44	Graduate Diploma and Graduate Certificate	M	156
Central Coast	2006	35-44	Postgraduate	F	383
Central Coast	2006	35-44	Postgraduate	M	389
Central Coast	2006	45-54		F	2668
Central Coast	2006	45-54		M	2146
Central Coast	2006	45-54	Certificate nfd	F	744
Central Coast	2006	45-54	Certificate nfd	M	334
Central Coast	2006	45-54	Certificate I and II Level	F	399
Central Coast	2006	45-54	Certificate I and II Level	M	154
Central Coast	2006	45-54	Certificate III and IV Level	F	2005
Central Coast	2006	45-54	Certificate III and IV Level	M	6426
Central Coast	2006	45-54	Advanced Diploma and Diploma	F	2199
Central Coast	2006	45-54	Advanced Diploma and Diploma	M	1471
Central Coast	2006	45-54	Bachelor	F	2182
Central Coast	2006	45-54	Bachelor	M	1753
Central Coast	2006	45-54	Graduate Diploma and Graduate Certificate	F	467
Central Coast	2006	45-54	Graduate Diploma and Graduate Certificate	M	291
Central Coast	2006	45-54	Postgraduate	F	364
Central Coast	2006	45-54	Postgraduate	M	483
Central Coast	2006	55-64		F	2663
Central Coast	2006	55-64		M	1920
Central Coast	2006	55-64	Certificate nfd	F	543
Central Coast	2006	55-64	Certificate nfd	M	325
Central Coast	2006	55-64	Certificate I and II Level	F	185
Central Coast	2006	55-64	Certificate I and II Level	M	109
Central Coast	2006	55-64	Certificate III and IV Level	F	1021
Central Coast	2006	55-64	Certificate III and IV Level	M	4795
Central Coast	2006	55-64	Advanced Diploma and Diploma	F	1458
Central Coast	2006	55-64	Advanced Diploma and Diploma	M	1002
Central Coast	2006	55-64	Bachelor	F	1147
Central Coast	2006	55-64	Bachelor	M	1091
Central Coast	2006	55-64	Graduate Diploma and Graduate Certificate	F	233
Central Coast	2006	55-64	Graduate Diploma and Graduate Certificate	M	165
Central Coast	2006	55-64	Postgraduate	F	219
