SA4_NAME16	Year	DwellingStructure	occupied_private_dwellings
Sydney - Parramatta	2011	Flat/apartment	36318
Sydney - Parramatta	2011	Semi-detached, row/terrace house, townhouse etc.	16907
Sydney - Parramatta	2011	Separate house	75181
Sydney - Parramatta	2016		644
Sydney - Parramatta	2016	(Other)	650
Sydney - Parramatta	2016	Flat/apartment	44827
Sydney - Parramatta	2016	Semi-detached, row/terrace house, townhouse etc.	21950
Sydney - Parramatta	2016	Separate house	72792
Sydney - Ryde	2006		49
Sydney - Ryde	2006	(Other)	137
Sydney - Ryde	2006	Flat/apartment	13584
Sydney - Ryde	2006	Semi-detached, row/terrace house, townhouse etc.	7164
Sydney - Ryde	2006	Separate house	34148
Sydney - Ryde	2011		28
Sydney - Ryde	2011	(Other)	123
Sydney - Ryde	2011	Flat/apartment	15918
Sydney - Ryde	2011	Semi-detached, row/terrace house, townhouse etc.	7390
Sydney - Ryde	2011	Separate house	34594
Sydney - Ryde	2016		269
Sydney - Ryde	2016	(Other)	142
Sydney - Ryde	2016	Flat/apartment	19125
Sydney - Ryde	2016	Semi-detached, row/terrace house, townhouse etc.	9149
Sydney - Ryde	2016	Separate house	34097
Sydney - South West	2006		40
Sydney - South West	2006	(Other)	316
Sydney - South West	2006	Flat/apartment	11525
Sydney - South West	2006	Semi-detached, row/terrace house, townhouse etc.	10274
Sydney - South West	2006	Separate house	78597
Sydney - South West	2011		103
Sydney - South West	2011	(Other)	292
Sydney - South West	2011	Flat/apartment	12534
Sydney - South West	2011	Semi-detached, row/terrace house, townhouse etc.	13494
Sydney - South West	2011	Separate house	80647
Sydney - South West	2016		541
Sydney - South West	2016	(Other)	555
Sydney - South West	2016	Flat/apartment	14606
Sydney - South West	2016	Semi-detached, row/terrace house, townhouse etc.	13234
Sydney - South West	2016	Separate house	87958
Sydney - Sutherland	2006		32
Sydney - Sutherland	2006	(Other)	234
Sydney - Sutherland	2006	Flat/apartment	14889
Sydney - Sutherland	2006	Semi-detached, row/terrace house, townhouse etc.	8061
Sydney - Sutherland	2006	Separate house	49488
Sydney - Sutherland	2011		18
Sydney - Sutherland	2011	(Other)	307
Sydney - Sutherland	2011	Flat/apartment	16023
Sydney - Sutherland	2011	Semi-detached, row/terrace house, townhouse etc.	8602
Sydney - Sutherland	2011	Separate house	50209
Sydney - Sutherland	2016		199
Sydney - Sutherland	2016	(Other)	367
Sydney - Sutherland	2016	Flat/apartment	16714
Sydney - Sutherland	2016	Semi-detached, row/terrace house, townhouse etc.	10368
Sydney - Sutherland	2016	Separate house	48519
Migratory - Offshore - Shipping (NSW)	2006		0
Migratory - Offshore - Shipping (NSW)	2006	(Other)	0
Migratory - Offshore - Shipping (NSW)	2006	Flat/apartment	0
Migratory - Offshore - Shipping (NSW)	2006	Semi-detached, row/terrace house, townhouse etc.	0
Migratory - Offshore - Shipping (NSW)	2006	Separate house	0
Migratory - Offshore - Shipping (NSW)	2011		0
Migratory - Offshore - Shipping (NSW)	2011	(Other)	0
Migratory - Offshore - Shipping (NSW)	2011	Flat/apartment	0
Migratory - Offshore - Shipping (NSW)	2011	Semi-detached, row/terrace house, townhouse etc.	0
Migratory - Offshore - Shipping (NSW)	2011	Separate house	0
Migratory - Offshore - Shipping (NSW)	2016		0
Migratory - Offshore - Shipping (NSW)	2016	(Other)	0
Migratory - Offshore - Shipping (NSW)	2016	Flat/apartment	0
Migratory - Offshore - Shipping (NSW)	2016	Semi-detached, row/terrace house, townhouse etc.	0
Migratory - Offshore - Shipping (NSW)	2016	Separate house	0
No usual address (NSW)	2006		0
No usual address (NSW)	2006	(Other)	0
No usual address (NSW)	2006	Flat/apartment	0
No usual address (NSW)	2006	Semi-detached, row/terrace house, townhouse etc.	0
No usual address (NSW)	2006	Separate house	0
No usual address (NSW)	2011		0
No usual address (NSW)	2011	(Other)	0
No usual address (NSW)	2011	Flat/apartment	0
No usual address (NSW)	2011	Semi-detached, row/terrace house, townhouse etc.	0
No usual address (NSW)	2011	Separate house	0
No usual address (NSW)	2016		0
No usual address (NSW)	2016	(Other)	0
No usual address (NSW)	2016	Flat/apartment	0
No usual address (NSW)	2016	Semi-detached, row/terrace house, townhouse etc.	0
No usual address (NSW)	2016	Separate house	0
Ballarat	2006		4
Ballarat	2006	(Other)	497
Ballarat	2006	Flat/apartment	3605
Ballarat	2006	Semi-detached, row/terrace house, townhouse etc.	1496
Ballarat	2006	Separate house	45810
Ballarat	2011		19
Ballarat	2011	(Other)	440
Ballarat	2011	Flat/apartment	3189
Ballarat	2011	Semi-detached, row/terrace house, townhouse etc.	2418
Ballarat	2011	Separate house	50224
Ballarat	2016		346
Ballarat	2016	(Other)	675
Ballarat	2016	Flat/apartment	1398
Ballarat	2016	Semi-detached, row/terrace house, townhouse etc.	5826
Ballarat	2016	Separate house	51496
Bendigo	2006		16
Bendigo	2006	(Other)	598
Bendigo	2006	Flat/apartment	2574
Bendigo	2006	Semi-detached, row/terrace house, townhouse etc.	2098
Bendigo	2006	Separate house	44713
Bendigo	2011		19
Bendigo	2011	(Other)	493
Bendigo	2011	Flat/apartment	2714
Bendigo	2011	Semi-detached, row/terrace house, townhouse etc.	1649
Bendigo	2011	Separate house	48982
Bendigo	2016		318
Bendigo	2016	(Other)	386
Bendigo	2016	Flat/apartment	747
Bendigo	2016	Semi-detached, row/terrace house, townhouse etc.	3714
Bendigo	2016	Separate house	52347
Geelong	2006		9
Geelong	2006	(Other)	640
Geelong	2006	Flat/apartment	6745
Geelong	2006	Semi-detached, row/terrace house, townhouse etc.	4207
Geelong	2006	Separate house	74812
Geelong	2011		26
Geelong	2011	(Other)	602
Geelong	2011	Flat/apartment	7620
Geelong	2011	Semi-detached, row/terrace house, townhouse etc.	4599
Geelong	2011	Separate house	81573
Geelong	2016		346
Geelong	2016	(Other)	627
Geelong	2016	Flat/apartment	2637
Geelong	2016	Semi-detached, row/terrace house, townhouse etc.	10170
Geelong	2016	Separate house	88852
Hume	2006		8
Hume	2006	(Other)	807
Hume	2006	Flat/apartment	3213
Hume	2006	Semi-detached, row/terrace house, townhouse etc.	2017
Hume	2006	Separate house	51133
Hume	2011		37
Hume	2011	(Other)	843
Hume	2011	Flat/apartment	3145
Hume	2011	Semi-detached, row/terrace house, townhouse etc.	2587
Hume	2011	Separate house	54398
Hume	2016		414
Hume	2016	(Other)	583
Hume	2016	Flat/apartment	1690
Hume	2016	Semi-detached, row/terrace house, townhouse etc.	3507
Hume	2016	Separate house	57905
Latrobe - Gippsland	2006		17
Latrobe - Gippsland	2006	(Other)	1159
Latrobe - Gippsland	2006	Flat/apartment	5222
Latrobe - Gippsland	2006	Semi-detached, row/terrace house, townhouse etc.	2217
Latrobe - Gippsland	2006	Separate house	81981
Latrobe - Gippsland	2011		40
Latrobe - Gippsland	2011	(Other)	1207
Latrobe - Gippsland	2011	Flat/apartment	5399
Latrobe - Gippsland	2011	Semi-detached, row/terrace house, townhouse etc.	3949
Latrobe - Gippsland	2011	Separate house	88214
Latrobe - Gippsland	2016		591
Latrobe - Gippsland	2016	(Other)	977
Latrobe - Gippsland	2016	Flat/apartment	3392
Latrobe - Gippsland	2016	Semi-detached, row/terrace house, townhouse etc.	4514
Latrobe - Gippsland	2016	Separate house	94012
Melbourne - Inner	2006		57
Melbourne - Inner	2006	(Other)	1242
Melbourne - Inner	2006	Flat/apartment	86695
Melbourne - Inner	2006	Semi-detached, row/terrace house, townhouse etc.	42357
Melbourne - Inner	2006	Separate house	60127
Melbourne - Inner	2011		143
Melbourne - Inner	2011	(Other)	1027
Melbourne - Inner	2011	Flat/apartment	102467
Melbourne - Inner	2011	Semi-detached, row/terrace house, townhouse etc.	44388
Melbourne - Inner	2011	Separate house	63702
Melbourne - Inner	2016		1192
Melbourne - Inner	2016	(Other)	1344
Melbourne - Inner	2016	Flat/apartment	134225
Melbourne - Inner	2016	Semi-detached, row/terrace house, townhouse etc.	56731
Melbourne - Inner	2016	Separate house	53415
Melbourne - Inner East	2006		26
Melbourne - Inner East	2006	(Other)	375
Melbourne - Inner East	2006	Flat/apartment	17616
Melbourne - Inner East	2006	Semi-detached, row/terrace house, townhouse etc.	15912
Melbourne - Inner East	2006	Separate house	84914
Melbourne - Inner East	2011		36
Melbourne - Inner East	2011	(Other)	295
Melbourne - Inner East	2011	Flat/apartment	18249
Melbourne - Inner East	2011	Semi-detached, row/terrace house, townhouse etc.	17772
Melbourne - Inner East	2011	Separate house	85973
Melbourne - Inner East	2016		437
Melbourne - Inner East	2016	(Other)	238
Melbourne - Inner East	2016	Flat/apartment	20184
Melbourne - Inner East	2016	Semi-detached, row/terrace house, townhouse etc.	27211
Melbourne - Inner East	2016	Separate house	80264
Melbourne - Inner South	2006		82
Melbourne - Inner South	2006	(Other)	854
Melbourne - Inner South	2006	Flat/apartment	28109
Melbourne - Inner South	2006	Semi-detached, row/terrace house, townhouse etc.	21111
Melbourne - Inner South	2006	Separate house	85828
Melbourne - Inner South	2011		70
Melbourne - Inner South	2011	(Other)	809
Melbourne - Inner South	2011	Flat/apartment	29212
Melbourne - Inner South	2011	Semi-detached, row/terrace house, townhouse etc.	24559
Melbourne - Inner South	2011	Separate house	87713
Melbourne - Inner South	2016		590
Melbourne - Inner South	2016	(Other)	838
Melbourne - Inner South	2016	Flat/apartment	29050
Melbourne - Inner South	2016	Semi-detached, row/terrace house, townhouse etc.	37154
Melbourne - Inner South	2016	Separate house	82105
Melbourne - North East	2006		19
Melbourne - North East	2006	(Other)	374
Melbourne - North East	2006	Flat/apartment	10248
Melbourne - North East	2006	Semi-detached, row/terrace house, townhouse etc.	11205
Melbourne - North East	2006	Separate house	113159
Melbourne - North East	2011		39
Melbourne - North East	2011	(Other)	321
Melbourne - North East	2011	Flat/apartment	11424
