SA4_NAME16	Year	Sex	overseas_visitors
Bendigo	2016	M	235
Geelong	2006	F	502
Geelong	2006	M	414
Geelong	2011	F	545
Geelong	2011	M	517
Geelong	2016	F	714
Geelong	2016	M	627
Hume	2006	F	386
Hume	2006	M	458
Hume	2011	F	535
Hume	2011	M	531
Hume	2016	F	635
Hume	2016	M	592
Latrobe - Gippsland	2006	F	385
Latrobe - Gippsland	2006	M	289
Latrobe - Gippsland	2011	F	478
Latrobe - Gippsland	2011	M	392
Latrobe - Gippsland	2016	F	586
Latrobe - Gippsland	2016	M	429
Melbourne - Inner	2006	F	6421
Melbourne - Inner	2006	M	6727
Melbourne - Inner	2011	F	7514
Melbourne - Inner	2011	M	7664
Melbourne - Inner	2016	F	12849
Melbourne - Inner	2016	M	10711
Melbourne - Inner East	2006	F	1837
Melbourne - Inner East	2006	M	1363
Melbourne - Inner East	2011	F	2277
Melbourne - Inner East	2011	M	1787
Melbourne - Inner East	2016	F	4048
Melbourne - Inner East	2016	M	3111
Melbourne - Inner South	2006	F	1404
Melbourne - Inner South	2006	M	1048
Melbourne - Inner South	2011	F	1621
Melbourne - Inner South	2011	M	1212
Melbourne - Inner South	2016	F	2552
Melbourne - Inner South	2016	M	1734
Melbourne - North East	2006	F	1049
Melbourne - North East	2006	M	776
Melbourne - North East	2011	F	1542
Melbourne - North East	2011	M	1162
Melbourne - North East	2016	F	2762
Melbourne - North East	2016	M	1861
Melbourne - North West	2006	F	511
Melbourne - North West	2006	M	455
Melbourne - North West	2011	F	850
Melbourne - North West	2011	M	687
Melbourne - North West	2016	F	1545
Melbourne - North West	2016	M	1104
Melbourne - Outer East	2006	F	1015
Melbourne - Outer East	2006	M	685
Melbourne - Outer East	2011	F	1270
Melbourne - Outer East	2011	M	907
Melbourne - Outer East	2016	F	2441
Melbourne - Outer East	2016	M	1658
Melbourne - South East	2006	F	1988
Melbourne - South East	2006	M	1592
Melbourne - South East	2011	F	2846
Melbourne - South East	2011	M	2246
Melbourne - South East	2016	F	5865
Melbourne - South East	2016	M	4174
Melbourne - West	2006	F	1135
Melbourne - West	2006	M	897
Melbourne - West	2011	F	2319
Melbourne - West	2011	M	1621
Melbourne - West	2016	F	4639
Melbourne - West	2016	M	3104
Mornington Peninsula	2006	F	473
Mornington Peninsula	2006	M	345
Mornington Peninsula	2011	F	554
Mornington Peninsula	2011	M	381
Mornington Peninsula	2016	F	733
Mornington Peninsula	2016	M	493
North West	2006	F	408
North West	2006	M	355
North West	2011	F	436
North West	2011	M	430
North West	2016	F	690
North West	2016	M	649
Shepparton	2006	F	119
Shepparton	2006	M	118
Shepparton	2011	F	175
Shepparton	2011	M	171
Shepparton	2016	F	362
Shepparton	2016	M	242
Warrnambool and South West	2006	F	287
Warrnambool and South West	2006	M	241
Warrnambool and South West	2011	F	325
Warrnambool and South West	2011	M	285
Warrnambool and South West	2016	F	608
Warrnambool and South West	2016	M	493
Migratory - Offshore - Shipping (Vic.)	2006	F	25
Migratory - Offshore - Shipping (Vic.)	2006	M	52
Migratory - Offshore - Shipping (Vic.)	2011	F	10
Migratory - Offshore - Shipping (Vic.)	2011	M	62
Migratory - Offshore - Shipping (Vic.)	2016	F	14
Migratory - Offshore - Shipping (Vic.)	2016	M	16
No usual address (Vic.)	2006	F	0
No usual address (Vic.)	2006	M	0
No usual address (Vic.)	2011	F	0
No usual address (Vic.)	2011	M	0
No usual address (Vic.)	2016	F	0
No usual address (Vic.)	2016	M	0
Brisbane - East	2006	F	775
Brisbane - East	2006	M	508
Brisbane - East	2011	F	747
Brisbane - East	2011	M	579
Brisbane - East	2016	F	865
Brisbane - East	2016	M	591
Brisbane - North	2006	F	794
Brisbane - North	2006	M	546
Brisbane - North	2011	F	839
Brisbane - North	2011	M	651
Brisbane - North	2016	F	1182
Brisbane - North	2016	M	762
Brisbane - South	2006	F	2157
Brisbane - South	2006	M	1578
Brisbane - South	2011	F	2398
Brisbane - South	2011	M	1821
Brisbane - South	2016	F	3779
Brisbane - South	2016	M	2653
Brisbane - West	2006	F	1570
Brisbane - West	2006	M	1177
Brisbane - West	2011	F	1386
Brisbane - West	2011	M	1057
Brisbane - West	2016	F	1743
Brisbane - West	2016	M	1162
Brisbane Inner City	2006	F	4414
Brisbane Inner City	2006	M	4410
Brisbane Inner City	2011	F	3710
Brisbane Inner City	2011	M	3948
Brisbane Inner City	2016	F	5361
Brisbane Inner City	2016	M	4785
Cairns	2006	F	8379
Cairns	2006	M	7356
Cairns	2011	F	6561
Cairns	2011	M	5663
Cairns	2016	F	8118
Cairns	2016	M	6553
Darling Downs - Maranoa	2006	F	244
Darling Downs - Maranoa	2006	M	268
Darling Downs - Maranoa	2011	F	268
Darling Downs - Maranoa	2011	M	352
Darling Downs - Maranoa	2016	F	335
Darling Downs - Maranoa	2016	M	321
Central Queensland	2006	F	899
Central Queensland	2006	M	944
Central Queensland	2011	F	738
Central Queensland	2011	M	766
Central Queensland	2016	F	837
Central Queensland	2016	M	995
Gold Coast	2006	F	7366
Gold Coast	2006	M	6916
Gold Coast	2011	F	6751
Gold Coast	2011	M	5862
Gold Coast	2016	F	9331
Gold Coast	2016	M	7724
Ipswich	2006	F	674
Ipswich	2006	M	576
Ipswich	2011	F	698
Ipswich	2011	M	582
Ipswich	2016	F	1117
Ipswich	2016	M	837
Logan - Beaudesert	2006	F	898
Logan - Beaudesert	2006	M	653
Logan - Beaudesert	2011	F	856
Logan - Beaudesert	2011	M	595
Logan - Beaudesert	2016	F	1184
Logan - Beaudesert	2016	M	816
Mackay - Isaac - Whitsunday	2006	F	1833
Mackay - Isaac - Whitsunday	2006	M	1758
Mackay - Isaac - Whitsunday	2011	F	1250
Mackay - Isaac - Whitsunday	2011	M	1276
Mackay - Isaac - Whitsunday	2016	F	2303
Mackay - Isaac - Whitsunday	2016	M	1742
Moreton Bay - North	2006	F	628
Moreton Bay - North	2006	M	526
Moreton Bay - North	2011	F	755
Moreton Bay - North	2011	M	560
Moreton Bay - North	2016	F	1328
Moreton Bay - North	2016	M	871
Moreton Bay - South	2006	F	424
Moreton Bay - South	2006	M	286
Moreton Bay - South	2011	F	453
Moreton Bay - South	2011	M	290
Moreton Bay - South	2016	F	676
Moreton Bay - South	2016	M	447
Queensland - Outback	2006	F	440
Queensland - Outback	2006	M	430
Queensland - Outback	2011	F	618
Queensland - Outback	2011	M	548
Queensland - Outback	2016	F	546
Queensland - Outback	2016	M	470
Sunshine Coast	2006	F	3598
Sunshine Coast	2006	M	3097
Sunshine Coast	2011	F	3392
Sunshine Coast	2011	M	2912
Sunshine Coast	2016	F	4002
Sunshine Coast	2016	M	3188
Toowoomba	2006	F	490
Toowoomba	2006	M	459
Toowoomba	2011	F	474
Toowoomba	2011	M	400
Toowoomba	2016	F	612
Toowoomba	2016	M	423
Townsville	2006	F	1229
Townsville	2006	M	1140
Townsville	2011	F	1165
Townsville	2011	M	1038
Townsville	2016	F	1374
Townsville	2016	M	1025
Wide Bay	2006	F	1694
Wide Bay	2006	M	1472
Wide Bay	2011	F	1598
Wide Bay	2011	M	1478
Wide Bay	2016	F	1958
Wide Bay	2016	M	1526
Migratory - Offshore - Shipping (Qld)	2006	F	187
Migratory - Offshore - Shipping (Qld)	2006	M	136
Migratory - Offshore - Shipping (Qld)	2011	F	446
Migratory - Offshore - Shipping (Qld)	2011	M	346
Migratory - Offshore - Shipping (Qld)	2016	F	231
Migratory - Offshore - Shipping (Qld)	2016	M	158
No usual address (Qld)	2006	F	0
No usual address (Qld)	2006	M	0
No usual address (Qld)	2011	F	0
No usual address (Qld)	2011	M	0
No usual address (Qld)	2016	F	0
No usual address (Qld)	2016	M	0
Adelaide - Central and Hills	2006	F	1840
Adelaide - Central and Hills	2006	M	1709
Adelaide - Central and Hills	2011	F	2035
Adelaide - Central and Hills	2011	M	1948
Adelaide - Central and Hills	2016	F	2709
Adelaide - Central and Hills	2016	M	2210
Adelaide - North	2006	F	720
Adelaide - North	2006	M	560
Adelaide - North	2011	F	845
Adelaide - North	2011	M	715
Adelaide - North	2016	F	1592
Adelaide - North	2016	M	1129
Adelaide - South	2006	F	1103
Adelaide - South	2006	M	716
Adelaide - South	2011	F	1090
Adelaide - South	2011	M	878
Adelaide - South	2016	F	1450
Adelaide - South	2016	M	1000
Adelaide - West	2006	F	533
Adelaide - West	2006	M	417
Adelaide - West	2011	F	656
Adelaide - West	2011	M	521
Adelaide - West	2016	F	1087
Adelaide - West	2016	M	721
Barossa - Yorke - Mid North	2006	F	156
Barossa - Yorke - Mid North	2006	M	136
Barossa - Yorke - Mid North	2011	F	182
Barossa - Yorke - Mid North	2011	M	138
Barossa - Yorke - Mid North	2016	F	211
Barossa - Yorke - Mid North	2016	M	164
South Australia - Outback	2006	F	206
South Australia - Outback	2006	M	226
South Australia - Outback	2011	F	165
South Australia - Outback	2011	M	179
South Australia - Outback	2016	F	233
South Australia - Outback	2016	M	269
South Australia - South East	2006	F	463
South Australia - South East	2006	M	421
South Australia - South East	2011	F	570
South Australia - South East	2011	M	472
South Australia - South East	2016	F	748
South Australia - South East	2016	M	816
Migratory - Offshore - Shipping (SA)	2006	F	19
Migratory - Offshore - Shipping (SA)	2006	M	18
Migratory - Offshore - Shipping (SA)	2011	F	15
Migratory - Offshore - Shipping (SA)	2011	M	23
Migratory - Offshore - Shipping (SA)	2016	F	9
Migratory - Offshore - Shipping (SA)	2016	M	12
No usual address (SA)	2006	F	0
No usual address (SA)	2006	M	0
No usual address (SA)	2011	F	0
No usual address (SA)	2011	M	0
No usual address (SA)	2016	F	0
No usual address (SA)	2016	M	0
Bunbury	2006	F	487
Bunbury	2006	M	594
Bunbury	2011	F	610
Bunbury	2011	M	578
Bunbury	2016	F	988
Bunbury	2016	M	809
Mandurah	2006	F	155
Mandurah	2006	M	110
Mandurah	2011	F	212
Mandurah	2011	M	183
Mandurah	2016	F	287
Mandurah	2016	M	178
Perth - Inner	2006	F	2662
Perth - Inner	2006	M	2818
Perth - Inner	2011	F	2674
Perth - Inner	2011	M	3008
Perth - Inner	2016	F	3176
Perth - Inner	2016	M	2763
Perth - North East	2006	F	546
Perth - North East	2006	M	473
Perth - North East	2011	F	700
Perth - North East	2011	M	614
Perth - North East	2016	F	1265
Perth - North East	2016	M	818
Perth - North West	2006	F	1783
Perth - North West	2006	M	1400
Perth - North West	2011	F	2052
Perth - North West	2011	M	1610
Perth - North West	2016	F	2926
Perth - North West	2016	M	1886
Perth - South East	2006	F	1830
Perth - South East	2006	M	1562
Perth - South East	2011	F	2389
Perth - South East	2011	M	2071
Perth - South East	2016	F	3837
Perth - South East	2016	M	2746
Perth - South West	2006	F	1363
Perth - South West	2006	M	1180
Perth - South West	2011	F	1573
Perth - South West	2011	M	1442
Perth - South West	2016	F	2352
Perth - South West	2016	M	1642
Western Australia - Wheat Belt	2006	F	386
Western Australia - Wheat Belt	2006	M	510
Western Australia - Wheat Belt	2011	F	460
Western Australia - Wheat Belt	2011	M	466
Western Australia - Wheat Belt	2016	F	578
Western Australia - Wheat Belt	2016	M	537
Western Australia - Outback (North)	2006	F	790
Western Australia - Outback (North)	2006	M	858
Western Australia - Outback (North)	2011	F	963
Western Australia - Outback (North)	2011	M	1308
Western Australia - Outback (North)	2016	F	1047
Western Australia - Outback (North)	2016	M	1420
Western Australia - Outback (South)	2006	F	678
Western Australia - Outback (South)	2006	M	696
Western Australia - Outback (South)	2011	F	761
Western Australia - Outback (South)	2011	M	786
Western Australia - Outback (South)	2016	F	841
Western Australia - Outback (South)	2016	M	700
Migratory - Offshore - Shipping (WA)	2006	F	118
Migratory - Offshore - Shipping (WA)	2006	M	262
Migratory - Offshore - Shipping (WA)	2011	F	25
Migratory - Offshore - Shipping (WA)	2011	M	434
Migratory - Offshore - Shipping (WA)	2016	F	102
Migratory - Offshore - Shipping (WA)	2016	M	359
No usual address (WA)	2006	F	0
No usual address (WA)	2006	M	0
No usual address (WA)	2011	F	0
No usual address (WA)	2011	M	0
No usual address (WA)	2016	F	0
No usual address (WA)	2016	M	0
Hobart	2006	F	508
Hobart	2006	M	420
Hobart	2011	F	612
Hobart	2011	M	486
Hobart	2016	F	917
Hobart	2016	M	687
Launceston and North East	2006	F	245
Launceston and North East	2006	M	220
Launceston and North East	2011	F	294
Launceston and North East	2011	M	283
Launceston and North East	2016	F	336
Launceston and North East	2016	M	329
South East	2006	F	67
South East	2006	M	56
South East	2011	F	93
South East	2011	M	57
South East	2016	F	126
South East	2016	M	116
West and North West	2006	F	133
West and North West	2006	M	124
West and North West	2011	F	171
West and North West	2011	M	172
West and North West	2016	F	200
West and North West	2016	M	215
Migratory - Offshore - Shipping (Tas.)	2006	F	0
Migratory - Offshore - Shipping (Tas.)	2006	M	34
Migratory - Offshore - Shipping (Tas.)	2011	F	8
Migratory - Offshore - Shipping (Tas.)	2011	M	21
Migratory - Offshore - Shipping (Tas.)	2016	F	9
Migratory - Offshore - Shipping (Tas.)	2016	M	34
No usual address (Tas.)	2006	F	0
No usual address (Tas.)	2006	M	0
No usual address (Tas.)	2011	F	0
No usual address (Tas.)	2011	M	0
No usual address (Tas.)	2016	F	0
No usual address (Tas.)	2016	M	0
Darwin	2006	F	1340
Darwin	2006	M	1303
Darwin	2011	F	1287
Darwin	2011	M	1217
Darwin	2016	F	1789
Darwin	2016	M	3047
Northern Territory - Outback	2006	F	1989
Northern Territory - Outback	2006	M	1907
Northern Territory - Outback	2011	F	1883
Northern Territory - Outback	2011	M	1663
Northern Territory - Outback	2016	F	2085
Northern Territory - Outback	2016	M	1987
Migratory - Offshore - Shipping (NT)	2006	F	57
Migratory - Offshore - Shipping (NT)	2006	M	60
Migratory - Offshore - Shipping (NT)	2011	F	27
Migratory - Offshore - Shipping (NT)	2011	M	80
Migratory - Offshore - Shipping (NT)	2016	F	10
Migratory - Offshore - Shipping (NT)	2016	M	63
No usual address (NT)	2006	F	0
No usual address (NT)	2006	M	0
No usual address (NT)	2011	F	0
No usual address (NT)	2011	M	0
No usual address (NT)	2016	F	0
No usual address (NT)	2016	M	0
Australian Capital Territory	2006	F	1517
Australian Capital Territory	2006	M	1400
Australian Capital Territory	2011	F	1910
Australian Capital Territory	2011	M	1746
Australian Capital Territory	2016	F	2780
Australian Capital Territory	2016	M	2095
Migratory - Offshore - Shipping (ACT)	2006	F	0
Migratory - Offshore - Shipping (ACT)	2006	M	0
Migratory - Offshore - Shipping (ACT)	2011	F	0
Migratory - Offshore - Shipping (ACT)	2011	M	0
Migratory - Offshore - Shipping (ACT)	2016	F	0
Migratory - Offshore - Shipping (ACT)	2016	M	0
No usual address (ACT)	2006	F	0
No usual address (ACT)	2006	M	0
No usual address (ACT)	2011	F	0
No usual address (ACT)	2011	M	0
No usual address (ACT)	2016	F	0
No usual address (ACT)	2016	M	0
Other Territories	2006	F	20
Other Territories	2006	M	53
Other Territories	2011	F	22
Other Territories	2011	M	17
Other Territories	2016	F	55
Other Territories	2016	M	62
Migratory - Offshore - Shipping (OT)	2006	F	0
Migratory - Offshore - Shipping (OT)	2006	M	0
Migratory - Offshore - Shipping (OT)	2011	F	0
Migratory - Offshore - Shipping (OT)	2011	M	0
Migratory - Offshore - Shipping (OT)	2016	F	0
Migratory - Offshore - Shipping (OT)	2016	M	0
No usual address (OT)	2006	F	0
No usual address (OT)	2006	M	0
No usual address (OT)	2011	F	0
No usual address (OT)	2011	M	0
No usual address (OT)	2016	F	0
No usual address (OT)	2016	M	0
