SA4_NAME16	Year	medianRentWeekly
Migratory - Offshore - Shipping (Tas.)	2006	0
No usual address (Tas.)	2006	0
Darwin	2006	200
Northern Territory - Outback	2006	56
Migratory - Offshore - Shipping (NT)	2006	0
No usual address (NT)	2006	0
Australian Capital Territory	2006	260
Migratory - Offshore - Shipping (ACT)	2006	0
No usual address (ACT)	2006	0
Other Territories	2006	102
Migratory - Offshore - Shipping (OT)	2006	0
No usual address (OT)	2006	0
Capital Region	2011	210
Central Coast	2011	270
Central West	2011	180
Coffs Harbour - Grafton	2011	240
Far West and Orana	2011	145
Hunter Valley exc Newcastle	2011	240
Illawarra	2011	250
Mid North Coast	2011	210
Murray	2011	165
New England and North West	2011	175
Newcastle and Lake Macquarie	2011	265
Richmond - Tweed	2011	270
Riverina	2011	180
Southern Highlands and Shoalhaven	2011	230
Sydney - Baulkham Hills and Hawkesbury	2011	440
Sydney - Blacktown	2011	300
Sydney - City and Inner South	2011	435
Sydney - Eastern Suburbs	2011	470
Sydney - Inner South West	2011	335
Sydney - Inner West	2011	415
Sydney - North Sydney and Hornsby	2011	470
Sydney - Northern Beaches	2011	460
Sydney - Outer South West	2011	277
Sydney - Outer West and Blue Mountains	2011	290
Sydney - Parramatta	2011	340
Sydney - Ryde	2011	380
Sydney - South West	2011	290
Sydney - Sutherland	2011	370
Migratory - Offshore - Shipping (NSW)	2011	0
No usual address (NSW)	2011	0
Ballarat	2011	195
Bendigo	2011	200
Geelong	2011	240
Hume	2011	185
Latrobe - Gippsland	2011	180
Melbourne - Inner	2011	360
Melbourne - Inner East	2011	350
Melbourne - Inner South	2011	330
Melbourne - North East	2011	300
Melbourne - North West	2011	290
Melbourne - Outer East	2011	295
Melbourne - South East	2011	290
Melbourne - West	2011	275
Mornington Peninsula	2011	260
North West	2011	150
Shepparton	2011	180
Warrnambool and South West	2011	175
Migratory - Offshore - Shipping (Vic.)	2011	0
No usual address (Vic.)	2011	0
Brisbane - East	2011	350
Brisbane - North	2011	330
Brisbane - South	2011	350
Brisbane - West	2011	370
Brisbane Inner City	2011	375
Cairns	2011	240
Darling Downs - Maranoa	2011	180
Central Queensland	2011	250
Gold Coast	2011	350
Ipswich	2011	280
Logan - Beaudesert	2011	300
Mackay - Isaac - Whitsunday	2011	270
Moreton Bay - North	2011	290
Moreton Bay - South	2011	340
Queensland - Outback	2011	100
Sunshine Coast	2011	325
Toowoomba	2011	240
Townsville	2011	260
Wide Bay	2011	220
Migratory - Offshore - Shipping (Qld)	2011	0
No usual address (Qld)	2011	0
Adelaide - Central and Hills	2011	275
Adelaide - North	2011	230
Adelaide - South	2011	250
Adelaide - West	2011	231
Barossa - Yorke - Mid North	2011	160
South Australia - Outback	2011	150
South Australia - South East	2011	160
Migratory - Offshore - Shipping (SA)	2011	0
No usual address (SA)	2011	0
Bunbury	2011	250
Mandurah	2011	270
Perth - Inner	2011	369
Perth - North East	2011	300
Perth - North West	2011	340
Perth - South East	2011	310
Perth - South West	2011	310
Western Australia - Wheat Belt	2011	150
Western Australia - Outback (North)	2011	100
Western Australia - Outback (South)	2011	200
Migratory - Offshore - Shipping (WA)	2011	0
No usual address (WA)	2011	0
Hobart	2011	235
Launceston and North East	2011	190
South East	2011	165
West and North West	2011	170
Migratory - Offshore - Shipping (Tas.)	2011	0
No usual address (Tas.)	2011	0
Darwin	2011	360
Northern Territory - Outback	2011	70
Migratory - Offshore - Shipping (NT)	2011	0
No usual address (NT)	2011	0
Australian Capital Territory	2011	380
Migratory - Offshore - Shipping (ACT)	2011	0
No usual address (ACT)	2011	0
Other Territories	2011	115
Migratory - Offshore - Shipping (OT)	2011	0
No usual address (OT)	2011	0
Capital Region	2016	255
Central Coast	2016	350
Central West	2016	235
Coffs Harbour - Grafton	2016	290
Far West and Orana	2016	190
Hunter Valley exc Newcastle	2016	290
Illawarra	2016	330
Mid North Coast	2016	270
Murray	2016	200
New England and North West	2016	220
Newcastle and Lake Macquarie	2016	330
Richmond - Tweed	2016	300
Riverina	2016	220
Southern Highlands and Shoalhaven	2016	295
Sydney - Baulkham Hills and Hawkesbury	2016	550
Sydney - Blacktown	2016	380
Sydney - City and Inner South	2016	550
Sydney - Eastern Suburbs	2016	580
Sydney - Inner South West	2016	415
Sydney - Inner West	2016	500
Sydney - North Sydney and Hornsby	2016	556
Sydney - Northern Beaches	2016	565
Sydney - Outer South West	2016	360
Sydney - Outer West and Blue Mountains	2016	365
Sydney - Parramatta	2016	410
Sydney - Ryde	2016	470
Sydney - South West	2016	365
Sydney - Sutherland	2016	450
Migratory - Offshore - Shipping (NSW)	2016	0
No usual address (NSW)	2016	0
Ballarat	2016	240
Bendigo	2016	250
Geelong	2016	288
Hume	2016	230
Latrobe - Gippsland	2016	220
Melbourne - Inner	2016	401
Melbourne - Inner East	2016	400
Melbourne - Inner South	2016	386
Melbourne - North East	2016	331
Melbourne - North West	2016	330
Melbourne - Outer East	2016	350
Melbourne - South East	2016	336
Melbourne - West	2016	315
Mornington Peninsula	2016	310
North West	2016	185
Shepparton	2016	210
Warrnambool and South West	2016	202
Migratory - Offshore - Shipping (Vic.)	2016	0
No usual address (Vic.)	2016	0
Brisbane - East	2016	395
Brisbane - North	2016	370
Brisbane - South	2016	390
Brisbane - West	2016	400
Brisbane Inner City	2016	420
Cairns	2016	280
Darling Downs - Maranoa	2016	210
Central Queensland	2016	250
Gold Coast	2016	390
Ipswich	2016	310
Logan - Beaudesert	2016	330
Mackay - Isaac - Whitsunday	2016	250
Moreton Bay - North	2016	315
Moreton Bay - South	2016	360
Queensland - Outback	2016	140
Sunshine Coast	2016	375
Toowoomba	2016	285
Townsville	2016	280
Wide Bay	2016	250
Migratory - Offshore - Shipping (Qld)	2016	0
No usual address (Qld)	2016	0
Adelaide - Central and Hills	2016	315
Adelaide - North	2016	268
Adelaide - South	2016	295
Adelaide - West	2016	280
Barossa - Yorke - Mid North	2016	200
South Australia - Outback	2016	175
South Australia - South East	2016	195
Migratory - Offshore - Shipping (SA)	2016	0
No usual address (SA)	2016	0
Bunbury	2016	300
Mandurah	2016	320
Perth - Inner	2016	400
Perth - North East	2016	350
Perth - North West	2016	380
Perth - South East	2016	350
Perth - South West	2016	360
Western Australia - Wheat Belt	2016	200
Western Australia - Outback (North)	2016	165
Western Australia - Outback (South)	2016	245
Migratory - Offshore - Shipping (WA)	2016	0
No usual address (WA)	2016	0
Hobart	2016	260
Launceston and North East	2016	212
South East	2016	200
West and North West	2016	200
Migratory - Offshore - Shipping (Tas.)	2016	0
No usual address (Tas.)	2016	0
Darwin	2016	420
Northern Territory - Outback	2016	92
Migratory - Offshore - Shipping (NT)	2016	0
No usual address (NT)	2016	0
Australian Capital Territory	2016	380
Migratory - Offshore - Shipping (ACT)	2016	0
No usual address (ACT)	2016	0
Other Territories	2016	140
Migratory - Offshore - Shipping (OT)	2016	0
No usual address (OT)	2016	0
